timestamp_utc,interval_start_utc,source_date,source_hour,row_split,solar_generation,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour_sin,hour_cos,day_sin,day_cos,output_quality,generation_status,row_valid,invalid_reasons
2024-01-01T06:00:00Z,2024-01-01T05:00:00Z,2024-01-01,1,train,0,0,0,0,98.6,-1.64,84.2,11.72,0.02,0,1,0,1,0,ok,True,
2024-01-01T07:00:00Z,2024-01-01T06:00:00Z,2024-01-01,2,train,0,0,0,0,98,-1.92,85.2,12.6,0.06,0.2588190451,0.9659258263,0,1,0,ok,True,
2024-01-01T08:00:00Z,2024-01-01T07:00:00Z,2024-01-01,3,train,0,0,0,0,95.2,-2.28,85.4,12.96,0.02,0.5,0.8660254038,0,1,0,ok,True,
2024-01-01T09:00:00Z,2024-01-01T08:00:00Z,2024-01-01,4,train,0,0,0,0,84.8,-2.5,85,13.4,0,0.7071067812,0.7071067812,0,1,0,ok,True,
2024-01-01T10:00:00Z,2024-01-01T09:00:00Z,2024-01-01,5,train,0,0,0,0,87.2,-2.84,85,13,0,0.8660254038,0.5,0,1,0,ok,True,
2024-01-01T11:00:00Z,2024-01-01T10:00:00Z,2024-01-01,6,train,0,0,0,0,79.8,-3.04,84.6,12.44,0,0.9659258263,0.2588190451,0,1,0,ok,True,
2024-01-01T12:00:00Z,2024-01-01T11:00:00Z,2024-01-01,7,train,0,0,0,0,74.8,-3.08,83,11.82,0,1,6.123233996e-17,0,1,0,ok,True,
2024-01-01T13:00:00Z,2024-01-01T12:00:00Z,2024-01-01,8,train,0,0.6,0,0.6,89.6,-3.34,82,11.66,0,0.9659258263,-0.2588190451,0,1,0,ok,True,
2024-01-01T14:00:00Z,2024-01-01T13:00:00Z,2024-01-01,9,train,25,42.4,18,24.4,88.2,-3.24,79.6,11.72,0,0.8660254038,-0.5,0,1,0,ok,True,
2024-01-01T15:00:00Z,2024-01-01T14:00:00Z,2024-01-01,10,train,87,118.8,53.8,65,96.6,-2.96,76.6,10.78,0,0.7071067812,-0.7071067812,0,1,0,ok,True,
2024-01-01T16:00:00Z,2024-01-01T15:00:00Z,2024-01-01,11,train,140,186,82.2,103.8,99.4,-2.78,74,10.32,0,0.5,-0.8660254038,0,1,0,ok,True,
2024-01-01T17:00:00Z,2024-01-01T16:00:00Z,2024-01-01,12,train,169,210.8,79.2,131.6,100,-2.54,71.8,10.32,0,0.2588190451,-0.9659258263,0,1,0,ok,True,
2024-01-01T18:00:00Z,2024-01-01T17:00:00Z,2024-01-01,13,train,165,214,61.2,152.8,100,-2.3,70.4,10.16,0,1.224646799e-16,-1,0,1,0,ok,True,
