timestamp_utc,interval_start_utc,source_date,source_hour,solar_generation,output_quality,fuel_record_present,energy_value_present,output_present,status,source_file
2024-01-01T06:00:00Z,2024-01-01T05:00:00Z,2024-01-01,1,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T07:00:00Z,2024-01-01T06:00:00Z,2024-01-01,2,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T08:00:00Z,2024-01-01T07:00:00Z,2024-01-01,3,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T09:00:00Z,2024-01-01T08:00:00Z,2024-01-01,4,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T10:00:00Z,2024-01-01T09:00:00Z,2024-01-01,5,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T11:00:00Z,2024-01-01T10:00:00Z,2024-01-01,6,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T12:00:00Z,2024-01-01T11:00:00Z,2024-01-01,7,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T13:00:00Z,2024-01-01T12:00:00Z,2024-01-01,8,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T14:00:00Z,2024-01-01T13:00:00Z,2024-01-01,9,25,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T15:00:00Z,2024-01-01T14:00:00Z,2024-01-01,10,87,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T16:00:00Z,2024-01-01T15:00:00Z,2024-01-01,11,140,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T17:00:00Z,2024-01-01T16:00:00Z,2024-01-01,12,169,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T18:00:00Z,2024-01-01T17:00:00Z,2024-01-01,13,165,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T19:00:00Z,2024-01-01T18:00:00Z,2024-01-01,14,153,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T20:00:00Z,2024-01-01T19:00:00Z,2024-01-01,15,104,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T21:00:00Z,2024-01-01T20:00:00Z,2024-01-01,16,48,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T22:00:00Z,2024-01-01T21:00:00Z,2024-01-01,17,3,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-01T23:00:00Z,2024-01-01T22:00:00Z,2024-01-01,18,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T00:00:00Z,2024-01-01T23:00:00Z,2024-01-01,19,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T01:00:00Z,2024-01-02T00:00:00Z,2024-01-01,20,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T02:00:00Z,2024-01-02T01:00:00Z,2024-01-01,21,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T03:00:00Z,2024-01-02T02:00:00Z,2024-01-01,22,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T04:00:00Z,2024-01-02T03:00:00Z,2024-01-01,23,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T05:00:00Z,2024-01-02T04:00:00Z,2024-01-01,24,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T06:00:00Z,2024-01-02T05:00:00Z,2024-01-02,1,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T07:00:00Z,2024-01-02T06:00:00Z,2024-01-02,2,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T08:00:00Z,2024-01-02T07:00:00Z,2024-01-02,3,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T09:00:00Z,2024-01-02T08:00:00Z,2024-01-02,4,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T10:00:00Z,2024-01-02T09:00:00Z,2024-01-02,5,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T11:00:00Z,2024-01-02T10:00:00Z,2024-01-02,6,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T12:00:00Z,2024-01-02T11:00:00Z,2024-01-02,7,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T13:00:00Z,2024-01-02T12:00:00Z,2024-01-02,8,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T14:00:00Z,2024-01-02T13:00:00Z,2024-01-02,9,5,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T15:00:00Z,2024-01-02T14:00:00Z,2024-01-02,10,19,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T16:00:00Z,2024-01-02T15:00:00Z,2024-01-02,11,34,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T17:00:00Z,2024-01-02T16:00:00Z,2024-01-02,12,40,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T18:00:00Z,2024-01-02T17:00:00Z,2024-01-02,13,37,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T19:00:00Z,2024-01-02T18:00:00Z,2024-01-02,14,33,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T20:00:00Z,2024-01-02T19:00:00Z,2024-01-02,15,27,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T21:00:00Z,2024-01-02T20:00:00Z,2024-01-02,16,15,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T22:00:00Z,2024-01-02T21:00:00Z,2024-01-02,17,2,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-02T23:00:00Z,2024-01-02T22:00:00Z,2024-01-02,18,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T00:00:00Z,2024-01-02T23:00:00Z,2024-01-02,19,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T01:00:00Z,2024-01-03T00:00:00Z,2024-01-02,20,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T02:00:00Z,2024-01-03T01:00:00Z,2024-01-02,21,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T03:00:00Z,2024-01-03T02:00:00Z,2024-01-02,22,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T04:00:00Z,2024-01-03T03:00:00Z,2024-01-02,23,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T05:00:00Z,2024-01-03T04:00:00Z,2024-01-02,24,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T06:00:00Z,2024-01-03T05:00:00Z,2024-01-03,1,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T07:00:00Z,2024-01-03T06:00:00Z,2024-01-03,2,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T08:00:00Z,2024-01-03T07:00:00Z,2024-01-03,3,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T09:00:00Z,2024-01-03T08:00:00Z,2024-01-03,4,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T10:00:00Z,2024-01-03T09:00:00Z,2024-01-03,5,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T11:00:00Z,2024-01-03T10:00:00Z,2024-01-03,6,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T12:00:00Z,2024-01-03T11:00:00Z,2024-01-03,7,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T13:00:00Z,2024-01-03T12:00:00Z,2024-01-03,8,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T14:00:00Z,2024-01-03T13:00:00Z,2024-01-03,9,1,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T15:00:00Z,2024-01-03T14:00:00Z,2024-01-03,10,9,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T16:00:00Z,2024-01-03T15:00:00Z,2024-01-03,11,20,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T17:00:00Z,2024-01-03T16:00:00Z,2024-01-03,12,24,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T18:00:00Z,2024-01-03T17:00:00Z,2024-01-03,13,27,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T19:00:00Z,2024-01-03T18:00:00Z,2024-01-03,14,30,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T20:00:00Z,2024-01-03T19:00:00Z,2024-01-03,15,21,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T21:00:00Z,2024-01-03T20:00:00Z,2024-01-03,16,8,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T22:00:00Z,2024-01-03T21:00:00Z,2024-01-03,17,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-03T23:00:00Z,2024-01-03T22:00:00Z,2024-01-03,18,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T00:00:00Z,2024-01-03T23:00:00Z,2024-01-03,19,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T01:00:00Z,2024-01-04T00:00:00Z,2024-01-03,20,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T02:00:00Z,2024-01-04T01:00:00Z,2024-01-03,21,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T03:00:00Z,2024-01-04T02:00:00Z,2024-01-03,22,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T04:00:00Z,2024-01-04T03:00:00Z,2024-01-03,23,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T05:00:00Z,2024-01-04T04:00:00Z,2024-01-03,24,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T06:00:00Z,2024-01-04T05:00:00Z,2024-01-04,1,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T07:00:00Z,2024-01-04T06:00:00Z,2024-01-04,2,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T08:00:00Z,2024-01-04T07:00:00Z,2024-01-04,3,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T09:00:00Z,2024-01-04T08:00:00Z,2024-01-04,4,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
2024-01-04T10:00:00Z,2024-01-04T09:00:00Z,2024-01-04,5,0,0,True,True,True,ok,PUB_GenOutputbyFuelHourly_2024.xml
