timestamp_utc,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2024-01-01T06:00:00Z,0,0,0,96,-5.8,69,6.9,0
2024-01-01T07:00:00Z,0,0,0,94,-6,71,6.4,0
2024-01-01T08:00:00Z,0,0,0,83,-6.7,76,7.2,0
2024-01-01T09:00:00Z,0,0,0,36,-6.8,79,7.5,0
2024-01-01T10:00:00Z,0,0,0,60,-7.1,82,8.6,0
2024-01-01T11:00:00Z,0,0,0,46,-7.3,84,8,0
2024-01-01T12:00:00Z,0,0,0,61,-7.2,83,7.3,0
2024-01-01T13:00:00Z,1,0,1,85,-7.3,82,8,0
2024-01-01T14:00:00Z,64,33,31,89,-6.7,76,9.1,0
2024-01-01T15:00:00Z,158,102,56,100,-5.9,69,7.6,0
2024-01-01T16:00:00Z,220,124,96,100,-5.6,65,7.2,0
2024-01-01T17:00:00Z,212,65,147,100,-5.3,62,7.5,0
2024-01-01T18:00:00Z,224,70,154,100,-4.9,61,8.2,0
2024-01-01T19:00:00Z,195,44,151,97,-4.7,60,8,0
2024-01-01T20:00:00Z,149,40,109,94,-4.6,59,8,0
2024-01-01T21:00:00Z,77,28,49,39,-4.6,59,8.7,0
2024-01-01T22:00:00Z,6,1,5,31,-5.5,62,7.9,0
2024-01-01T23:00:00Z,0,0,0,34,-6.3,69,7.4,0
2024-01-02T00:00:00Z,0,0,0,19,-6.8,74,7.2,0
2024-01-02T01:00:00Z,0,0,0,2,-6.8,78,8.4,0
2024-01-02T02:00:00Z,0,0,0,3,-6.4,79,9.2,0
2024-01-02T03:00:00Z,0,0,0,18,-6,79,9.4,0
2024-01-02T04:00:00Z,0,0,0,51,-5.7,78,10.2,0
2024-01-02T05:00:00Z,0,0,0,61,-5.5,79,10.7,0
2024-01-02T06:00:00Z,0,0,0,83,-5.4,80,10.9,0
2024-01-02T07:00:00Z,0,0,0,98,-5.5,81,11.5,0
2024-01-02T08:00:00Z,0,0,0,97,-5.4,82,11.5,0
2024-01-02T09:00:00Z,0,0,0,96,-5.1,83,11.5,0
2024-01-02T10:00:00Z,0,0,0,79,-5.1,84,11.5,0
2024-01-02T11:00:00Z,0,0,0,77,-4.6,85,10.9,0
2024-01-02T12:00:00Z,0,0,0,64,-4.2,87,11.7,0
2024-01-02T13:00:00Z,1,0,1,78,-3.5,87,12.2,0
2024-01-02T14:00:00Z,48,22,26,79,-2.6,83,11.5,0
2024-01-02T15:00:00Z,142,83,59,84,-1.4,78,13.2,0
2024-01-02T16:00:00Z,187,83,104,98,-0.6,74,15.4,0
2024-01-02T17:00:00Z,234,119,115,100,-0.1,71,15.8,0
2024-01-02T18:00:00Z,284,179,105,93,0.5,69,15.1,0
2024-01-02T19:00:00Z,204,107,97,55,0.7,67,14.8,0
2024-01-02T20:00:00Z,169,89,80,54,1.1,64,14.3,0
2024-01-02T21:00:00Z,85,48,37,24,0.8,66,11,0
2024-01-02T22:00:00Z,7,3,4,19,-0.3,72,11.6,0
2024-01-02T23:00:00Z,0,0,0,31,-0.4,73,12.5,0
2024-01-03T00:00:00Z,0,0,0,56,-0.3,73,13.5,0
2024-01-03T01:00:00Z,0,0,0,69,-0.1,71,14.5,0
2024-01-03T02:00:00Z,0,0,0,96,0.1,70,14.3,0
2024-01-03T03:00:00Z,0,0,0,99,0.1,71,13.8,0
2024-01-03T04:00:00Z,0,0,0,100,0.2,71,13.3,0
2024-01-03T05:00:00Z,0,0,0,100,0.2,73,13,0
2024-01-03T06:00:00Z,0,0,0,100,0.3,74,12.7,0
2024-01-03T07:00:00Z,0,0,0,100,0.4,75,12.5,0
2024-01-03T08:00:00Z,0,0,0,98,0.3,77,12.1,0
2024-01-03T09:00:00Z,0,0,0,93,0.3,79,11.4,0
2024-01-03T10:00:00Z,0,0,0,98,0.3,81,11.1,0
2024-01-03T11:00:00Z,0,0,0,96,0.2,84,10.1,0
2024-01-03T12:00:00Z,0,0,0,91,0.3,86,9.6,0
2024-01-03T13:00:00Z,1,0,1,84,0.3,87,8.8,0
2024-01-03T14:00:00Z,35,6,29,83,0.6,86,9.1,0
2024-01-03T15:00:00Z,112,34,78,80,1.3,83,9.7,0
2024-01-03T16:00:00Z,161,36,125,88,1.7,83,9.7,0
2024-01-03T17:00:00Z,177,43,134,91,2.2,81,11.1,0
2024-01-03T18:00:00Z,191,66,125,100,2.7,77,11.4,0
2024-01-03T19:00:00Z,157,54,103,98,2.9,75,11.5,0.1
2024-01-03T20:00:00Z,105,33,72,98,2.3,81,9.7,0
2024-01-03T21:00:00Z,48,4,44,100,2.1,84,9,0
2024-01-03T22:00:00Z,5,0,5,99,1.4,87,9.7,0
2024-01-03T23:00:00Z,0,0,0,98,1,89,10,0
2024-01-04T00:00:00Z,0,0,0,97,1.1,91,11.7,0.1
2024-01-04T01:00:00Z,0,0,0,99,0.9,91,13,0.1
2024-01-04T02:00:00Z,0,0,0,97,1.3,90,12.5,0.1
2024-01-04T03:00:00Z,0,0,0,100,1.2,91,11.8,0.1
2024-01-04T04:00:00Z,0,0,0,99,0.7,92,11,0.1
2024-01-04T05:00:00Z,0,0,0,99,0.5,94,10.3,0.1
2024-01-04T06:00:00Z,0,0,0,100,0.6,96,12.1,0.2
2024-01-04T07:00:00Z,0,0,0,100,0.1,91,18.4,0.1
2024-01-04T08:00:00Z,0,0,0,98,-2,72,21.3,0
2024-01-04T09:00:00Z,0,0,0,98,-3.8,64,21.7,0
2024-01-04T10:00:00Z,0,0,0,91,-5.4,63,22.1,0
2024-01-04T11:00:00Z,0,0,0,8,-6.5,63,21.7,0
2024-01-04T12:00:00Z,0,0,0,0,-7.6,61,21.6,0
2024-01-04T13:00:00Z,1,0,1,0,-8.5,60,21.7,0
2024-01-04T14:00:00Z,78,52,26,13,-8.5,59,21.3,0
2024-01-04T15:00:00Z,207,158,49,0,-8.5,56,19,0
2024-01-04T16:00:00Z,312,253,59,0,-8.3,54,18,0
2024-01-04T17:00:00Z,372,309,63,0,-8.2,53,16.9,0
2024-01-04T18:00:00Z,379,315,64,0,-7.8,52,15.7,0
2024-01-04T19:00:00Z,332,271,61,0,-7.5,51,15,0
2024-01-04T20:00:00Z,237,185,52,0,-7.6,51,13.8,0
2024-01-04T21:00:00Z,110,76,34,0,-8.2,53,12.7,0
2024-01-04T22:00:00Z,9,5,4,0,-9.5,58,11.9,0
2024-01-04T23:00:00Z,0,0,0,4,-10.1,60,11.5,0
2024-01-05T00:00:00Z,0,0,0,10,-10.4,63,10.8,0
2024-01-05T01:00:00Z,0,0,0,0,-10.7,65,9.5,0
2024-01-05T02:00:00Z,0,0,0,0,-11.2,67,9.2,0
2024-01-05T03:00:00Z,0,0,0,59,-11.3,68,9,0
2024-01-05T04:00:00Z,0,0,0,93,-11.8,71,8.2,0
2024-01-05T05:00:00Z,0,0,0,98,-11.8,71,7.4,0
2024-01-05T06:00:00Z,0,0,0,86,-11.3,71,8.1,0
2024-01-05T07:00:00Z,0,0,0,31,-11.5,73,7.3,0
2024-01-05T08:00:00Z,0,0,0,25,-12.1,77,5.8,0
2024-01-05T09:00:00Z,0,0,0,40,-11.8,78,6.2,0
2024-01-05T10:00:00Z,0,0,0,63,-12,74,8,0
2024-01-05T11:00:00Z,0,0,0,40,-12.1,76,5.1,0
2024-01-05T12:00:00Z,0,0,0,61,-12.2,77,5.1,0
2024-01-05T13:00:00Z,1,0,1,74,-11.7,77,6.4,0
