timestamp_utc,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2024-01-01T06:00:00Z,0,0,0,100,-0.9,90,12.5,0.1
2024-01-01T07:00:00Z,0,0,0,100,-1.4,92,13.8,0.2
2024-01-01T08:00:00Z,0,0,0,96,-1.5,91,13,0.1
2024-01-01T09:00:00Z,0,0,0,95,-1.7,89,12.2,0
2024-01-01T10:00:00Z,0,0,0,99,-2.1,88,9.9,0
2024-01-01T11:00:00Z,0,0,0,97,-2.3,86,9.5,0
2024-01-01T12:00:00Z,0,0,0,94,-2.3,83,8.7,0
2024-01-01T13:00:00Z,0,0,0,97,-2.6,82,8.5,0
2024-01-01T14:00:00Z,35,10,25,95,-2.5,80,7.8,0
2024-01-01T15:00:00Z,94,25,69,99,-2.4,80,6.6,0
2024-01-01T16:00:00Z,148,34,114,100,-2.2,79,6.5,0
2024-01-01T17:00:00Z,193,60,133,100,-1.9,77,7.4,0
2024-01-01T18:00:00Z,178,15,163,100,-1.6,75,7.9,0
2024-01-01T19:00:00Z,173,21,152,100,-1.4,74,9.7,0
2024-01-01T20:00:00Z,105,12,93,100,-1.5,73,10.7,0
2024-01-01T21:00:00Z,50,4,46,99,-1.5,73,11.5,0
2024-01-01T22:00:00Z,11,1,10,95,-1.8,74,11.2,0
2024-01-01T23:00:00Z,0,0,0,78,-2,76,10.9,0
2024-01-02T00:00:00Z,0,0,0,74,-2.3,78,9.5,0
2024-01-02T01:00:00Z,0,0,0,68,-2.2,77,8.1,0
2024-01-02T02:00:00Z,0,0,0,66,-2.4,78,9,0
2024-01-02T03:00:00Z,0,0,0,53,-2,78,9.4,0
2024-01-02T04:00:00Z,0,0,0,59,-1.9,78,10.2,0
2024-01-02T05:00:00Z,0,0,0,61,-2,79,11.5,0
2024-01-02T06:00:00Z,0,0,0,51,-1.8,80,12.8,0
2024-01-02T07:00:00Z,0,0,0,42,-1.7,80,14,0
2024-01-02T08:00:00Z,0,0,0,33,-1.8,82,14.6,0
2024-01-02T09:00:00Z,0,0,0,43,-1.8,82,15.5,0
2024-01-02T10:00:00Z,0,0,0,77,-1.5,79,13.6,0
2024-01-02T11:00:00Z,0,0,0,78,-1.5,80,14.7,0
2024-01-02T12:00:00Z,0,0,0,89,-1.4,79,15.4,0
2024-01-02T13:00:00Z,0,0,0,84,-1.3,79,17,0
2024-01-02T14:00:00Z,56,33,23,64,-0.8,77,17.5,0
2024-01-02T15:00:00Z,184,132,52,51,-0.2,75,23,0
2024-01-02T16:00:00Z,296,225,71,51,0.3,73,21.9,0
2024-01-02T17:00:00Z,383,319,64,6,1.1,71,21.4,0
2024-01-02T18:00:00Z,386,302,84,19,1.6,69,22.1,0
2024-01-02T19:00:00Z,349,269,80,11,1.8,68,21.5,0
2024-01-02T20:00:00Z,258,181,77,10,1.8,68,20.6,0
2024-01-02T21:00:00Z,132,86,46,15,1.5,69,17.6,0
