timestamp_utc,interval_start_utc,source_date,source_hour,row_split,solar_generation,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour_sin,hour_cos,day_sin,day_cos,output_quality,generation_status,row_valid,invalid_reasons
2024-01-19T12:00:00Z,2024-01-19T11:00:00Z,2024-01-19,7,train,0,0,0,0,97.6,-11.22,77.6,14.84,0.08,1,6.123233996e-17,0.3041148323,0.9526353808,-1,flagged,False,generation_quality_flag_-1
2024-01-19T13:00:00Z,2024-01-19T12:00:00Z,2024-01-19,8,train,0,1.2,0.2,1,98.8,-11.78,77,15.48,0.1,0.9659258263,-0.2588190451,0.3041148323,0.9526353808,-1,flagged,False,generation_quality_flag_-1
2024-01-19T14:00:00Z,2024-01-19T13:00:00Z,2024-01-19,9,train,6,49,11.6,37.4,99,-11.64,74.8,15.78,0.08,0.8660254038,-0.5,0.3041148323,0.9526353808,-1,flagged,False,generation_quality_flag_-1
2024-01-19T15:00:00Z,2024-01-19T14:00:00Z,2024-01-19,10,train,35,135.4,41,94.4,95,-11.28,72.2,15.72,0.08,0.7071067812,-0.7071067812,0.3041148323,0.9526353808,-1,flagged,False,generation_quality_flag_-1
2024-03-26T17:00:00Z,2024-03-26T16:00:00Z,2024-03-26,12,train,177,417.6,165.4,252.2,100,9.24,60,19.96,0.06,0.2588190451,-0.9659258263,0.99378067,0.1113551969,-1,flagged,False,generation_quality_flag_-1
2024-03-26T18:00:00Z,2024-03-26T17:00:00Z,2024-03-26,13,train,187,389,123.4,265.6,100,9.76,60.8,20.66,0.12,1.224646799e-16,-1,0.99378067,0.1113551969,-1,flagged,False,generation_quality_flag_-1
2024-03-26T19:00:00Z,2024-03-26T18:00:00Z,2024-03-26,14,train,182,324.8,48.2,276.6,100,10.04,62.4,20.64,0.02,-0.2588190451,-0.9659258263,0.99378067,0.1113551969,-1,flagged,False,generation_quality_flag_-1
2024-03-26T20:00:00Z,2024-03-26T19:00:00Z,2024-03-26,15,train,111,273.4,38.8,234.6,100,10.1,64.4,20.34,0.06,-0.5,-0.8660254038,0.99378067,0.1113551969,-1,flagged,False,generation_quality_flag_-1
2024-03-26T21:00:00Z,2024-03-26T20:00:00Z,2024-03-26,16,train,72,168.6,9.2,159.4,100,9.8,66.8,22.5,0.18,-0.7071067812,-0.7071067812,0.99378067,0.1113551969,-1,flagged,False,generation_quality_flag_-1
2024-03-26T22:00:00Z,2024-03-26T21:00:00Z,2024-03-26,17,train,42,102.4,9.4,93,100,9.76,71,20.96,0.48,-0.8660254038,-0.5,0.99378067,0.1113551969,-1,flagged,False,generation_quality_flag_-1
2024-04-13T14:00:00Z,2024-04-13T13:00:00Z,2024-04-13,9,train,94,233.8,133.4,100.4,77.6,6.02,74.6,27.46,0.22,0.8660254038,-0.5,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T15:00:00Z,2024-04-13T14:00:00Z,2024-04-13,10,train,141,349.2,194.4,154.8,76,6.6,71.8,27.34,0.22,0.7071067812,-0.7071067812,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T16:00:00Z,2024-04-13T15:00:00Z,2024-04-13,11,train,164,459.4,264.8,194.6,72,7.24,69.8,26.7,0.18,0.5,-0.8660254038,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T17:00:00Z,2024-04-13T16:00:00Z,2024-04-13,12,train,194,564,353.4,210.6,65.4,8.24,64.6,26.26,0.14,0.2588190451,-0.9659258263,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T18:00:00Z,2024-04-13T17:00:00Z,2024-04-13,13,train,235,590.8,383.4,207.4,59,9.14,61.4,26.66,0.1,1.224646799e-16,-1,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T19:00:00Z,2024-04-13T18:00:00Z,2024-04-13,14,train,239,549.6,358.8,190.8,53,9.9,58.2,26.24,0.08,-0.2588190451,-0.9659258263,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T20:00:00Z,2024-04-13T19:00:00Z,2024-04-13,15,train,276,509,362.2,146.8,40.8,10.54,55.2,25.54,0.06,-0.5,-0.8660254038,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T21:00:00Z,2024-04-13T20:00:00Z,2024-04-13,16,train,260,453,333,120,40,10.94,53.4,24.58,0.02,-0.7071067812,-0.7071067812,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T22:00:00Z,2024-04-13T21:00:00Z,2024-04-13,17,train,174,328.8,229.6,99.2,39.8,10.98,51.4,21.52,0.02,-0.8660254038,-0.5,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-13T23:00:00Z,2024-04-13T22:00:00Z,2024-04-13,18,train,79,181.4,117,64.4,38.6,10.72,52.2,17.34,0.02,-0.9659258263,-0.2588190451,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T00:00:00Z,2024-04-13T23:00:00Z,2024-04-13,19,train,12,45.8,26.2,19.6,39.6,9.6,56.6,15.3,0,-1,-1.836970199e-16,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T01:00:00Z,2024-04-14T00:00:00Z,2024-04-13,20,train,0,0.2,0,0.2,32.4,8.36,61.8,15.02,0,-0.9659258263,0.2588190451,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T02:00:00Z,2024-04-14T01:00:00Z,2024-04-13,21,train,0,0,0,0,34.8,7.64,64.6,14.2,0,-0.8660254038,0.5,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T03:00:00Z,2024-04-14T02:00:00Z,2024-04-13,22,train,0,0,0,0,44,7.14,66.4,13.26,0,-0.7071067812,0.7071067812,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T04:00:00Z,2024-04-14T03:00:00Z,2024-04-13,23,train,0,0,0,0,42.4,6.74,68.2,12.8,0,-0.5,0.8660254038,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T05:00:00Z,2024-04-14T04:00:00Z,2024-04-13,24,train,0,0,0,0,44.4,6.42,72.4,12.3,0.04,-0.2588190451,0.9659258263,0.9805753941,-0.1961425414,-1,flagged,False,generation_quality_flag_-1
2024-04-14T06:00:00Z,2024-04-14T05:00:00Z,2024-04-14,1,train,0,0,0,0,63,6.22,74.4,10.82,0,0,1,0.9770638565,-0.2129465199,-1,flagged,False,generation_quality_flag_-1
2024-06-30T12:00:00Z,2024-06-30T11:00:00Z,2024-06-30,7,train,38,143.6,63.8,79.8,47.2,18.94,81,19.08,0.12,1,6.123233996e-17,0.03432760051,-0.9994106342,-1,flagged,False,generation_quality_flag_-1
2024-08-18T16:00:00Z,2024-08-18T15:00:00Z,2024-08-18,11,train,217,340,143.6,196.4,86.4,23.22,83.4,12.74,0.16,0.5,-0.8660254038,-0.7221165966,-0.6917713646,-1,flagged,False,generation_quality_flag_-1
2024-09-21T21:00:00Z,2024-09-21T20:00:00Z,2024-09-21,16,train,178,353,252.8,100.2,35,25.54,57.8,8.28,0,-0.7071067812,-0.7071067812,-0.9837979516,-0.1792807588,-1,flagged,False,generation_quality_flag_-1
2024-09-21T22:00:00Z,2024-09-21T21:00:00Z,2024-09-21,17,train,99,218,144.8,73.2,32.2,24.38,62.6,8.2,0,-0.8660254038,-0.5,-0.9837979516,-0.1792807588,-1,flagged,False,generation_quality_flag_-1
2024-11-12T14:00:00Z,2024-11-12T13:00:00Z,2024-11-12,9,train,143,152.6,96.6,56,35.2,3.42,69.2,20.52,0,0.8660254038,-0.5,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T15:00:00Z,2024-11-12T14:00:00Z,2024-11-12,10,train,261,303,235.2,67.8,31.2,4.56,64.6,20.24,0,0.7071067812,-0.7071067812,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T16:00:00Z,2024-11-12T15:00:00Z,2024-11-12,11,train,315,410.8,334.6,76.2,34.2,5.82,58.2,19.58,0,0.5,-0.8660254038,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T17:00:00Z,2024-11-12T16:00:00Z,2024-11-12,12,train,331,462.6,369,93.6,25.4,6.2,56,18.58,0,0.2588190451,-0.9659258263,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T18:00:00Z,2024-11-12T17:00:00Z,2024-11-12,13,train,335,447.6,344.4,103.2,27.6,6.58,54,17.76,0,1.224646799e-16,-1,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T19:00:00Z,2024-11-12T18:00:00Z,2024-11-12,14,train,314,379.4,268.2,111.2,33,6.74,51.8,17.1,0,-0.2588190451,-0.9659258263,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T20:00:00Z,2024-11-12T19:00:00Z,2024-11-12,15,train,245,292.2,206.6,85.6,24,6.66,51,16.52,0,-0.5,-0.8660254038,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T21:00:00Z,2024-11-12T20:00:00Z,2024-11-12,16,train,132,164.4,109.4,55,19,6.2,52,15.48,0,-0.7071067812,-0.7071067812,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T22:00:00Z,2024-11-12T21:00:00Z,2024-11-12,17,train,21,39.4,23.2,16.2,3.4,4.46,59.8,10.1,0,-0.8660254038,-0.5,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-12T23:00:00Z,2024-11-12T22:00:00Z,2024-11-12,18,train,0,0.2,0,0.2,0,3.36,64.8,10.28,0,-0.9659258263,-0.2588190451,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
2024-11-13T00:00:00Z,2024-11-12T23:00:00Z,2024-11-12,19,train,0,0,0,0,0,2.66,68.8,11.36,0,-1,-1.836970199e-16,-0.7567706633,0.6536804748,-1,flagged,False,generation_quality_flag_-1
