timestamp_utc,interval_start_utc,source_date,source_hour,row_split,solar_generation,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour_sin,hour_cos,day_sin,day_cos,output_quality,generation_status,row_valid,invalid_reasons
2024-06-01T06:00:00Z,2024-06-01T05:00:00Z,2024-06-01,1,train,0,0,0,0,41.6,11.92,78.2,10.8,0,0,1,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T07:00:00Z,2024-06-01T06:00:00Z,2024-06-01,2,train,0,0,0,0,55.8,11.4,79.4,9.46,0,0.2588190451,0.9659258263,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T08:00:00Z,2024-06-01T07:00:00Z,2024-06-01,3,train,0,0,0,0,73.8,10.9,80.8,9.74,0,0.5,0.8660254038,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T09:00:00Z,2024-06-01T08:00:00Z,2024-06-01,4,train,0,0,0,0,59,10.5,81.6,9.42,0,0.7071067812,0.7071067812,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T10:00:00Z,2024-06-01T09:00:00Z,2024-06-01,5,train,0,5.8,2.4,3.4,54.2,10.9,81.8,8.42,0,0.8660254038,0.5,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T11:00:00Z,2024-06-01T10:00:00Z,2024-06-01,6,train,12,88,52.4,35.6,55,12.92,76.6,8.16,0,0.9659258263,0.2588190451,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T12:00:00Z,2024-06-01T11:00:00Z,2024-06-01,7,train,70,244.4,166.2,78.2,56.8,15.14,69.4,6.4,0,1,6.123233996e-17,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T13:00:00Z,2024-06-01T12:00:00Z,2024-06-01,8,train,180,418.2,300.4,117.8,78,17.4,61,6.4,0,0.9659258263,-0.2588190451,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T14:00:00Z,2024-06-01T13:00:00Z,2024-06-01,9,train,275,588.6,443.6,145,98.8,19.38,52.8,7.44,0,0.8660254038,-0.5,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T15:00:00Z,2024-06-01T14:00:00Z,2024-06-01,10,train,332,735.6,551.2,184.4,98.2,20.82,48.4,9.28,0,0.7071067812,-0.7071067812,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T16:00:00Z,2024-06-01T15:00:00Z,2024-06-01,11,train,377,833,612.4,220.6,94,21.7,45.8,11.18,0,0.5,-0.8660254038,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T17:00:00Z,2024-06-01T16:00:00Z,2024-06-01,12,train,387,886.6,634.6,252,94.8,22.48,43.6,12.6,0,0.2588190451,-0.9659258263,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T18:00:00Z,2024-06-01T17:00:00Z,2024-06-01,13,train,396,896.2,641.6,254.6,90,23,42.2,13.24,0,1.224646799e-16,-1,0.5074150933,-0.8617017599,0,ok,True,
2024-06-01T19:00:00Z,2024-06-01T18:00:00Z,2024-06-01,14,train,375,827.4,547.6,279.8,93.8,23.36,40.2,13.36,0,-0.2588190451,-0.9659258263,0.5074150933,-0.8617017599,0,ok,True,
