timestamp_utc,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2024-06-01T06:00:00Z,0,0,0,0,13.9,72,14.5,0
2024-06-01T07:00:00Z,0,0,0,1,13.1,74,13.5,0
2024-06-01T08:00:00Z,0,0,0,0,12.3,77,11.9,0
2024-06-01T09:00:00Z,0,0,0,0,12.1,79,9.2,0
2024-06-01T10:00:00Z,10,4,6,0,12.9,75,5.2,0
2024-06-01T11:00:00Z,120,80,40,0,14,70,6.2,0
2024-06-01T12:00:00Z,297,234,63,0,15.2,64,4,0
2024-06-01T13:00:00Z,486,407,79,75,16.5,61,4.2,0
2024-06-01T14:00:00Z,661,572,89,99,17.9,57,5.6,0
2024-06-01T15:00:00Z,798,678,120,95,18.9,56,7.1,0
2024-06-01T16:00:00Z,906,784,122,96,19.7,54,10,0
2024-06-01T17:00:00Z,963,844,119,96,20.5,52,12,0
2024-06-01T18:00:00Z,969,857,112,68,21,52,12.6,0
2024-06-01T19:00:00Z,910,772,138,90,21.3,51,13,0
2024-06-01T20:00:00Z,792,631,161,100,21.5,50,13,0
2024-06-01T21:00:00Z,616,424,192,100,21.4,52,11.9,0
2024-06-01T22:00:00Z,383,156,227,100,20.8,52,10.8,0
2024-06-01T23:00:00Z,233,84,149,99,20.7,50,9.8,0
2024-06-02T00:00:00Z,89,11,78,100,20,53,8.4,0
2024-06-02T01:00:00Z,11,0,11,97,18.4,62,7.4,0
2024-06-02T02:00:00Z,0,0,0,100,17.4,67,5.7,0
2024-06-02T03:00:00Z,0,0,0,100,16.9,71,7.4,0
2024-06-02T04:00:00Z,0,0,0,100,16,74,8.4,0
2024-06-02T05:00:00Z,0,0,0,100,15.4,76,8.8,0
2024-06-02T06:00:00Z,0,0,0,100,15.4,77,7.6,0
2024-06-02T07:00:00Z,0,0,0,100,15.2,79,6.2,0
2024-06-02T08:00:00Z,0,0,0,100,15.5,80,5.8,0
2024-06-02T09:00:00Z,0,0,0,99,15.3,82,6.1,0
2024-06-02T10:00:00Z,8,1,7,100,15.5,87,7.9,0
2024-06-02T11:00:00Z,89,22,67,100,15.8,83,7.3,0
2024-06-02T12:00:00Z,193,46,147,100,16.6,79,7.1,0
2024-06-02T13:00:00Z,308,81,227,100,17.7,70,6.9,0
2024-06-02T14:00:00Z,409,114,295,100,18.8,68,6.5,0
2024-06-02T15:00:00Z,489,129,360,100,19.8,65,5.7,0
2024-06-02T16:00:00Z,497,104,393,100,20.1,65,6.1,0
2024-06-02T17:00:00Z,442,50,392,99,20.6,63,5.9,0
2024-06-02T18:00:00Z,464,77,387,100,21,62,5.4,0
2024-06-02T19:00:00Z,454,85,369,100,20.7,62,4.3,0
2024-06-02T20:00:00Z,277,29,248,99,20.3,63,3.4,0
2024-06-02T21:00:00Z,168,10,158,100,20.2,62,6.4,0
2024-06-02T22:00:00Z,158,17,141,99,20.8,62,11.6,0
2024-06-02T23:00:00Z,85,3,82,100,20.5,64,9.5,0
2024-06-03T00:00:00Z,34,7,27,100,19.8,68,7.7,0
2024-06-03T01:00:00Z,5,1,4,100,19.3,72,7.7,0
2024-06-03T02:00:00Z,0,0,0,100,19,74,8.2,0
2024-06-03T03:00:00Z,0,0,0,98,18.7,78,7.9,0
2024-06-03T04:00:00Z,0,0,0,17,18,79,7.2,0
2024-06-03T05:00:00Z,0,0,0,37,17.8,81,6.5,0
2024-06-03T06:00:00Z,0,0,0,39,17.5,82,5.5,0
2024-06-03T07:00:00Z,0,0,0,2,17.6,83,5.2,0
2024-06-03T08:00:00Z,0,0,0,13,17.6,83,5.1,0
2024-06-03T09:00:00Z,0,0,0,12,17.4,85,4.7,0
2024-06-03T10:00:00Z,6,2,4,36,17.7,87,2.8,0
2024-06-03T11:00:00Z,93,50,43,17,18.1,87,3.8,0
2024-06-03T12:00:00Z,252,175,77,6,18.8,84,3.8,0
2024-06-03T13:00:00Z,383,288,95,46,19.8,79,3.8,0
2024-06-03T14:00:00Z,513,341,172,85,21,72,4.7,0
2024-06-03T15:00:00Z,684,439,245,88,21.7,69,6.5,0
2024-06-03T16:00:00Z,775,484,291,57,21.9,69,6.7,0
2024-06-03T17:00:00Z,762,409,353,14,22.4,68,6.4,0
2024-06-03T18:00:00Z,730,425,305,33,22.7,67,4.3,0
2024-06-03T19:00:00Z,807,684,123,40,22.9,67,4,0
2024-06-03T20:00:00Z,776,679,97,8,23.4,65,5.2,0
2024-06-03T21:00:00Z,584,455,129,10,23.8,64,6.1,0
2024-06-03T22:00:00Z,371,245,126,28,23.7,62,6.6,0
2024-06-03T23:00:00Z,270,192,78,6,23.8,62,5.8,0
2024-06-04T00:00:00Z,122,80,42,9,23.2,63,3.8,0
2024-06-04T01:00:00Z,17,8,9,9,21.7,72,6.3,0
2024-06-04T02:00:00Z,0,0,0,22,20.5,78,7,0
2024-06-04T03:00:00Z,0,0,0,33,19.6,80,7.9,0
2024-06-04T04:00:00Z,0,0,0,95,19.2,81,6.8,0
2024-06-04T05:00:00Z,0,0,0,29,18.8,83,6.1,0
2024-06-04T06:00:00Z,0,0,0,73,18.4,85,3.4,0
2024-06-04T07:00:00Z,0,0,0,100,18.1,88,1,0
2024-06-04T08:00:00Z,0,0,0,100,17.9,90,1.5,0
2024-06-04T09:00:00Z,0,0,0,100,17.8,91,4.3,0
2024-06-04T10:00:00Z,8,1,7,99,18.7,90,4.5,0
2024-06-04T11:00:00Z,98,37,61,100,18.8,89,3.8,0
2024-06-04T12:00:00Z,251,147,104,100,19.5,83,3.9,0
2024-06-04T13:00:00Z,422,292,130,100,21,73,4.5,0
2024-06-04T14:00:00Z,605,467,138,100,22.7,67,5,0
2024-06-04T15:00:00Z,757,616,141,92,23.9,64,6.2,0
2024-06-04T16:00:00Z,880,751,129,95,24.5,61,7.3,0
2024-06-04T17:00:00Z,818,612,206,82,24.9,60,7.4,0
2024-06-04T18:00:00Z,850,592,258,34,25.5,58,6.5,0
2024-06-04T19:00:00Z,858,718,140,10,25.7,58,6.6,0
2024-06-04T20:00:00Z,739,601,138,9,26.2,57,6.4,0
2024-06-04T21:00:00Z,666,581,85,7,26.5,54,6.8,0
2024-06-04T22:00:00Z,464,385,79,16,26.4,55,6.5,0
2024-06-04T23:00:00Z,298,227,71,6,25.8,58,6.5,0
2024-06-05T00:00:00Z,131,85,46,2,25.2,61,7.2,0
2024-06-05T01:00:00Z,16,6,10,3,23,69,6.2,0
2024-06-05T02:00:00Z,0,0,0,6,22.1,72,7.2,0
2024-06-05T03:00:00Z,0,0,0,7,21.8,74,8.2,0
2024-06-05T04:00:00Z,0,0,0,7,21.2,78,7.4,0
2024-06-05T05:00:00Z,0,0,0,2,20.8,79,8.7,0.2
2024-06-05T06:00:00Z,0,0,0,4,20.9,79,8.5,0.2
2024-06-05T07:00:00Z,0,0,0,13,20.6,82,6.9,0
2024-06-05T08:00:00Z,0,0,0,19,20,85,9.4,0
2024-06-05T09:00:00Z,0,0,0,39,20,86,10.5,0
2024-06-05T10:00:00Z,8,3,5,32,20.4,85,8.3,0
2024-06-05T11:00:00Z,92,54,38,19,20.8,82,10.1,0
2024-06-05T12:00:00Z,225,147,78,34,21.3,77,10.1,0
2024-06-05T13:00:00Z,391,283,108,77,21.7,75,11.9,0
2024-06-05T14:00:00Z,545,407,138,96,22.3,73,11.5,0
2024-06-05T15:00:00Z,695,529,166,99,23.5,71,11.2,0
2024-06-05T16:00:00Z,832,668,164,95,23.9,71,10.8,0
2024-06-05T17:00:00Z,908,747,161,94,25.3,67,10.8,0
2024-06-05T18:00:00Z,850,662,188,89,25.9,65,11.9,0
2024-06-05T19:00:00Z,863,700,163,98,26.6,61,13,0
2024-06-05T20:00:00Z,682,470,212,92,26.6,61,13.3,0
2024-06-05T21:00:00Z,585,422,163,94,27.3,60,11.6,0
2024-06-05T22:00:00Z,362,170,192,100,25.2,71,12.4,0
2024-06-05T23:00:00Z,205,84,121,98,24.2,74,8.1,0
2024-06-06T00:00:00Z,82,19,63,97,23.4,78,9.2,0
2024-06-06T01:00:00Z,14,1,13,97,22.7,82,12.4,0
2024-06-06T02:00:00Z,0,0,0,98,22.4,83,14,0
2024-06-06T03:00:00Z,0,0,0,98,22.4,85,15.3,0
2024-06-06T04:00:00Z,0,0,0,97,22.3,85,16.6,0.1
2024-06-06T05:00:00Z,0,0,0,100,22,85,14.8,0.1
2024-06-06T06:00:00Z,0,0,0,100,21.5,86,14.8,0.1
2024-06-06T07:00:00Z,0,0,0,100,20.7,90,15.5,0.9
2024-06-06T08:00:00Z,0,0,0,100,20,92,14.7,2.3
2024-06-06T09:00:00Z,0,0,0,99,19.6,94,13.5,2
2024-06-06T10:00:00Z,2,0,2,100,19.8,96,8.7,0.1
2024-06-06T11:00:00Z,28,0,28,98,19.9,94,7.3,0.1
2024-06-06T12:00:00Z,50,0,50,99,19.9,94,9.5,0.1
2024-06-06T13:00:00Z,91,0,91,100,20.2,94,9.6,0.1
2024-06-06T14:00:00Z,200,19,181,100,21.1,93,7.4,0.3
