timestamp_utc,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2024-06-01T06:00:00Z,0,0,0,95,9.1,86,7.9,0
2024-06-01T07:00:00Z,0,0,0,90,8.9,86,3.8,0
2024-06-01T08:00:00Z,0,0,0,93,9,85,5.4,0
2024-06-01T09:00:00Z,0,0,0,87,8.7,84,7.2,0
2024-06-01T10:00:00Z,0,0,0,99,8.6,85,7.9,0
2024-06-01T11:00:00Z,67,37,30,100,11,81,8.8,0
2024-06-01T12:00:00Z,223,144,79,99,14.1,73,8.1,0
2024-06-01T13:00:00Z,370,212,158,100,17.3,59,7.5,0
2024-06-01T14:00:00Z,515,271,244,100,19.6,47,9.1,0
2024-06-01T15:00:00Z,623,286,337,100,20.9,42,10.4,0
2024-06-01T16:00:00Z,692,289,403,100,21.4,41,11.2,0
2024-06-01T17:00:00Z,789,379,410,100,22.1,41,11.9,0
2024-06-01T18:00:00Z,892,575,317,98,22.8,39,13,0
2024-06-01T19:00:00Z,813,447,366,96,23.4,36,13.3,0
2024-06-01T20:00:00Z,740,433,307,100,23.1,34,13.4,0
2024-06-01T21:00:00Z,564,239,325,99,22.5,34,13,0
2024-06-01T22:00:00Z,431,193,238,100,22.2,34,11,0
2024-06-01T23:00:00Z,188,14,174,100,21.2,40,7.2,0
2024-06-02T00:00:00Z,85,1,84,100,19.8,45,7.7,0
2024-06-02T01:00:00Z,17,2,15,100,18.7,48,7.3,0
2024-06-02T02:00:00Z,0,0,0,99,17.9,50,8.7,0
2024-06-02T03:00:00Z,0,0,0,100,17.5,51,10.1,0
2024-06-02T04:00:00Z,0,0,0,100,17.5,56,11.2,0
2024-06-02T05:00:00Z,0,0,0,100,17.2,62,10.7,0
2024-06-02T06:00:00Z,0,0,0,100,16.9,67,9,0
2024-06-02T07:00:00Z,0,0,0,100,16.6,72,7.9,0
2024-06-02T08:00:00Z,0,0,0,100,16.2,78,8.4,0.1
2024-06-02T09:00:00Z,0,0,0,100,15.9,84,6,1
2024-06-02T10:00:00Z,0,0,0,100,15.6,90,5.5,1.2
2024-06-02T11:00:00Z,15,1,14,100,15.7,91,7.7,1.5
2024-06-02T12:00:00Z,29,0,29,100,15.6,93,9.8,2.2
2024-06-02T13:00:00Z,52,0,52,100,15.7,95,11.1,1.5
2024-06-02T14:00:00Z,46,0,46,100,15.6,96,13.8,0.9
