timestamp_utc,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2024-06-01T06:00:00Z,0,0,0,19,12.6,65,14.9,0
2024-06-01T07:00:00Z,0,0,0,60,11.9,66,13.7,0
2024-06-01T08:00:00Z,0,0,0,77,10.6,71,12.5,0
2024-06-01T09:00:00Z,0,0,0,13,9.7,75,11,0
2024-06-01T10:00:00Z,16,7,9,0,10,76,10.2,0
2024-06-01T11:00:00Z,134,92,42,0,12.4,70,9.8,0
2024-06-01T12:00:00Z,309,245,64,0,15,61,6.7,0
2024-06-01T13:00:00Z,492,414,78,18,17.4,56,4.8,0
2024-06-01T14:00:00Z,663,576,87,99,19.5,51,4.3,0
2024-06-01T15:00:00Z,805,711,94,98,21.9,46,5.3,0
2024-06-01T16:00:00Z,903,795,108,76,23.7,40,6.6,0
2024-06-01T17:00:00Z,954,840,114,81,25.2,34,8.9,0
2024-06-01T18:00:00Z,951,840,111,85,26.1,30,10.5,0
2024-06-01T19:00:00Z,892,756,136,83,26.7,27,10.7,0
2024-06-01T20:00:00Z,774,606,168,96,26.8,27,10.8,0
2024-06-01T21:00:00Z,585,365,220,95,26.8,28,10,0
2024-06-01T22:00:00Z,411,218,193,100,26.2,30,7.7,0
2024-06-01T23:00:00Z,263,156,107,100,25.7,34,7.1,0
2024-06-02T00:00:00Z,113,42,71,99,23.6,46,9.2,0
2024-06-02T01:00:00Z,15,3,12,99,20.4,54,11.4,0
2024-06-02T02:00:00Z,0,0,0,58,18.3,61,12.1,0
2024-06-02T03:00:00Z,0,0,0,94,16.7,67,10.8,0
2024-06-02T04:00:00Z,0,0,0,97,14.9,72,8.2,0
2024-06-02T05:00:00Z,0,0,0,100,13.7,75,5.9,0
2024-06-02T06:00:00Z,0,0,0,98,12.8,79,5.7,0
2024-06-02T07:00:00Z,0,0,0,100,11.8,83,6.6,0
2024-06-02T08:00:00Z,0,0,0,100,11.4,85,4.7,0
2024-06-02T09:00:00Z,0,0,0,98,10.7,89,4.7,0
2024-06-02T10:00:00Z,14,3,11,100,11.3,88,4.4,0
2024-06-02T11:00:00Z,103,33,70,100,13.2,82,3.5,0
2024-06-02T12:00:00Z,168,20,148,100,15,75,1.4,0
2024-06-02T13:00:00Z,279,41,238,100,17,64,2.2,0
2024-06-02T14:00:00Z,481,196,285,100,19.6,54,2.6,0
2024-06-02T15:00:00Z,543,185,358,99,21.9,44,2.9,0
2024-06-02T16:00:00Z,681,310,371,100,23.7,36,3.7,0
2024-06-02T17:00:00Z,701,316,385,100,25,30,5.4,0
2024-06-02T18:00:00Z,555,218,337,100,25.1,30,5.8,0
2024-06-02T19:00:00Z,504,103,401,100,25.2,31,4.6,0
2024-06-02T20:00:00Z,326,4,322,99,25.2,33,4.3,0
2024-06-02T21:00:00Z,358,119,239,88,25,35,4.6,0
2024-06-02T22:00:00Z,238,64,174,73,24.6,37,6.1,0
2024-06-02T23:00:00Z,111,16,95,91,23.8,46,5.9,0
2024-06-03T00:00:00Z,55,14,41,80,22.2,60,6,0
2024-06-03T01:00:00Z,8,2,6,85,20.1,66,6.8,0
2024-06-03T02:00:00Z,0,0,0,70,19,73,6.3,0
2024-06-03T03:00:00Z,0,0,0,46,18.8,71,6.1,0
2024-06-03T04:00:00Z,0,0,0,19,17,78,4.7,0
2024-06-03T05:00:00Z,0,0,0,2,16,83,3,0
2024-06-03T06:00:00Z,0,0,0,2,15,88,3.9,0
2024-06-03T07:00:00Z,0,0,0,1,13.6,92,4.3,0
2024-06-03T08:00:00Z,0,0,0,3,13.4,93,5.2,0
2024-06-03T09:00:00Z,0,0,0,4,13.1,93,6.1,0
2024-06-03T10:00:00Z,16,7,9,2,13.2,90,7.6,0
2024-06-03T11:00:00Z,126,85,41,2,15.7,83,7.6,0
2024-06-03T12:00:00Z,296,235,61,6,18.7,72,2.9,0
2024-06-03T13:00:00Z,476,395,81,5,21.3,63,2.3,0
2024-06-03T14:00:00Z,641,545,96,1,23.5,55,2.2,0
2024-06-03T15:00:00Z,782,682,100,1,25.5,47,0,0
2024-06-03T16:00:00Z,879,775,104,1,26.7,42,2.6,0
2024-06-03T17:00:00Z,931,828,103,0,27.8,36,2.8,0
2024-06-03T18:00:00Z,911,793,118,3,28.4,33,2.3,0
2024-06-03T19:00:00Z,724,589,135,6,28.8,31,1.9,0
2024-06-03T20:00:00Z,728,592,136,7,29,30,2.2,0
2024-06-03T21:00:00Z,568,448,120,7,29.2,28,2.9,0
2024-06-03T22:00:00Z,440,316,124,11,28.5,33,4.8,0
2024-06-03T23:00:00Z,277,194,83,15,28,34,4.3,0
2024-06-04T00:00:00Z,137,94,43,2,25.4,53,4.9,0
2024-06-04T01:00:00Z,19,9,10,18,22.1,59,6.7,0
2024-06-04T02:00:00Z,0,0,0,49,19.5,69,7.3,0
2024-06-04T03:00:00Z,0,0,0,19,17.5,77,6.5,0
2024-06-04T04:00:00Z,0,0,0,66,16.1,83,5.4,0
2024-06-04T05:00:00Z,0,0,0,86,15.1,85,5.8,0
2024-06-04T06:00:00Z,0,0,0,95,14.4,88,4.2,0
2024-06-04T07:00:00Z,0,0,0,98,13.7,89,4.5,0
2024-06-04T08:00:00Z,0,0,0,100,13.6,90,2.9,0
2024-06-04T09:00:00Z,0,0,0,100,13.8,88,2.2,0
2024-06-04T10:00:00Z,12,2,10,100,14.4,89,2.8,0
2024-06-04T11:00:00Z,85,18,67,100,16.2,86,3.3,0
2024-06-04T12:00:00Z,212,85,127,100,18.8,80,0.8,0
2024-06-04T13:00:00Z,400,247,153,100,21.3,70,1.5,0
2024-06-04T14:00:00Z,594,449,145,100,23.7,61,2.4,0
2024-06-04T15:00:00Z,731,557,174,96,26,53,3.3,0
2024-06-04T16:00:00Z,820,620,200,48,27,48,5.4,0
2024-06-04T17:00:00Z,851,656,195,17,27.9,46,6.7,0
2024-06-04T18:00:00Z,629,420,209,27,28.3,44,7,0
2024-06-04T19:00:00Z,713,533,180,27,28.9,42,7.7,0
2024-06-04T20:00:00Z,597,438,159,61,29.1,42,9,0
2024-06-04T21:00:00Z,490,353,137,43,29.7,38,7.9,0
2024-06-04T22:00:00Z,377,238,139,50,29.2,40,7.9,0
2024-06-04T23:00:00Z,244,174,70,47,28.2,43,4.3,0
2024-06-05T00:00:00Z,112,67,45,51,27.1,49,5.6,0
2024-06-05T01:00:00Z,17,7,10,53,25.1,53,7,0
2024-06-05T02:00:00Z,0,0,0,71,22.3,66,7.2,0
2024-06-05T03:00:00Z,0,0,0,42,20.5,74,6.2,0
2024-06-05T04:00:00Z,0,0,0,19,19.4,77,6.6,0
2024-06-05T05:00:00Z,0,0,0,16,17.9,83,7.5,0
2024-06-05T06:00:00Z,0,0,0,28,17.9,82,5.3,0
2024-06-05T07:00:00Z,0,0,0,46,17.9,83,3.6,0
2024-06-05T08:00:00Z,0,0,0,45,17.6,85,2.9,0
2024-06-05T09:00:00Z,0,0,0,62,16.3,92,2.1,0
2024-06-05T10:00:00Z,11,4,7,50,17.8,87,5.2,0
2024-06-05T11:00:00Z,88,44,44,25,19.1,85,4.2,0
2024-06-05T12:00:00Z,268,179,89,6,21.5,77,3.8,0
2024-06-05T13:00:00Z,442,358,84,0,23.6,70,5.6,0
2024-06-05T14:00:00Z,595,503,92,0,25.1,65,7.1,0
2024-06-05T15:00:00Z,744,624,120,0,27.2,58,8.4,0
2024-06-05T16:00:00Z,854,750,104,14,28.2,55,9.2,0
2024-06-05T17:00:00Z,916,817,99,23,29.6,52,8.6,0
2024-06-05T18:00:00Z,915,813,102,44,30.3,50,9,0
2024-06-05T19:00:00Z,785,665,120,64,30.7,48,9.7,0
2024-06-05T20:00:00Z,739,641,98,74,30.7,47,10.9,0
2024-06-05T21:00:00Z,531,424,107,78,30.6,45,11.6,0
2024-06-05T22:00:00Z,376,273,103,95,30.1,45,11.7,0
2024-06-05T23:00:00Z,212,137,75,99,29.1,49,8.3,0
2024-06-06T00:00:00Z,110,40,70,97,27.6,54,8.4,0
2024-06-06T01:00:00Z,15,2,13,96,25.8,60,10.4,0
2024-06-06T02:00:00Z,0,0,0,100,24.7,66,10.1,0
2024-06-06T03:00:00Z,0,0,0,97,23.8,72,10.1,0
2024-06-06T04:00:00Z,0,0,0,97,22.5,79,10.1,0
2024-06-06T05:00:00Z,0,0,0,98,21.9,83,10.1,0
2024-06-06T06:00:00Z,0,0,0,100,21.4,86,10.4,0
2024-06-06T07:00:00Z,0,0,0,100,21.1,88,10,0
2024-06-06T08:00:00Z,0,0,0,100,21,88,9.4,0
2024-06-06T09:00:00Z,0,0,0,100,20.9,88,8.8,0.3
2024-06-06T10:00:00Z,3,0,3,100,20.8,89,9,0.7
2024-06-06T11:00:00Z,22,0,22,100,20.5,93,7.6,0.7
2024-06-06T12:00:00Z,44,0,44,100,20.6,94,5.9,1
2024-06-06T13:00:00Z,72,0,72,100,20.7,95,7.9,1.8
2024-06-06T14:00:00Z,100,3,97,100,21.1,95,8.2,2.4
2024-06-06T15:00:00Z,105,1,104,100,20.9,97,9.2,0.9
2024-06-06T16:00:00Z,104,0,104,100,21,95,10.4,1
2024-06-06T17:00:00Z,130,0,130,100,21.2,94,9.4,0.7
2024-06-06T18:00:00Z,148,0,148,100,21.9,93,11.1,2
2024-06-06T19:00:00Z,181,6,175,98,22,93,20.9,2.6
2024-06-06T20:00:00Z,152,3,149,100,21.1,93,14.8,6.1
2024-06-06T21:00:00Z,61,0,61,92,19.9,91,15.5,9.4
2024-06-06T22:00:00Z,152,68,84,53,18.2,87,5.2,1.3
2024-06-06T23:00:00Z,175,112,63,52,18.4,83,4.9,0
2024-06-07T00:00:00Z,127,79,48,47,18.2,84,6,0
2024-06-07T01:00:00Z,18,9,9,40,16.5,89,8.5,0
2024-06-07T02:00:00Z,0,0,0,57,15.9,94,7.9,0
2024-06-07T03:00:00Z,0,0,0,57,15.6,95,8,0
2024-06-07T04:00:00Z,0,0,0,62,15.6,96,8.2,0.1
2024-06-07T05:00:00Z,0,0,0,47,15.8,96,8.5,0
2024-06-07T06:00:00Z,0,0,0,38,15.6,96,9,0
2024-06-07T07:00:00Z,0,0,0,16,15,96,8.4,0
2024-06-07T08:00:00Z,0,0,0,6,13.6,96,6.5,0
2024-06-07T09:00:00Z,0,0,0,17,14.3,95,4.6,0
2024-06-07T10:00:00Z,15,5,10,85,14.5,98,3.6,0
2024-06-07T11:00:00Z,93,47,46,69,15.2,96,1.8,0
2024-06-07T12:00:00Z,178,86,92,63,16.3,94,3,0.1
