timestamp_utc,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2024-06-01T06:00:00Z,0,0,0,94,14.2,79,9.8,0
2024-06-01T07:00:00Z,0,0,0,100,14.3,81,9.7,0
2024-06-01T08:00:00Z,0,0,0,99,14.7,81,10.8,0
2024-06-01T09:00:00Z,0,0,0,98,14.5,83,11,0
2024-06-01T10:00:00Z,0,0,0,100,15.4,86,10.6,0
2024-06-01T11:00:00Z,33,2,31,100,16,86,10.4,0
2024-06-01T12:00:00Z,141,27,114,100,17.3,83,10.9,0
2024-06-01T13:00:00Z,295,103,192,100,18.7,69,11.4,0
2024-06-01T14:00:00Z,483,287,196,100,20.2,56,12.6,0
2024-06-01T15:00:00Z,695,483,212,99,21.3,48,15,0
2024-06-01T16:00:00Z,838,632,206,98,21.8,45,17.3,0
2024-06-01T17:00:00Z,900,666,234,97,22.2,44,18.6,0
2024-06-01T18:00:00Z,847,504,343,99,22.3,45,18.1,0
2024-06-01T19:00:00Z,772,424,348,100,22.2,47,16.3,0
2024-06-01T20:00:00Z,619,226,393,100,22.5,47,14.6,0
2024-06-01T21:00:00Z,486,157,329,100,22.9,46,13,0
2024-06-01T22:00:00Z,322,75,247,100,22,52,12.3,0
2024-06-01T23:00:00Z,174,17,157,100,21.5,55,13.7,0
2024-06-02T00:00:00Z,74,2,72,99,20.8,59,13.6,0.2
2024-06-02T01:00:00Z,17,2,15,100,19.6,65,11.3,0.1
2024-06-02T02:00:00Z,0,0,0,100,18.9,69,10.2,0.2
2024-06-02T03:00:00Z,0,0,0,100,18.5,74,7.5,0.4
2024-06-02T04:00:00Z,0,0,0,100,18,81,6.2,1.2
2024-06-02T05:00:00Z,0,0,0,100,18.1,86,7.4,0.9
2024-06-02T06:00:00Z,0,0,0,100,18,88,10.2,0.9
2024-06-02T07:00:00Z,0,0,0,100,18,90,14.6,2.4
2024-06-02T08:00:00Z,0,0,0,100,17.9,91,16.6,1.2
2024-06-02T09:00:00Z,0,0,0,100,18,92,17.1,1
2024-06-02T10:00:00Z,0,0,0,100,18,92,15.5,0.4
2024-06-02T11:00:00Z,2,0,2,100,18.2,91,14,0.2
2024-06-02T12:00:00Z,12,0,12,100,18.2,92,14,0
2024-06-02T13:00:00Z,47,0,47,100,18.3,92,17.3,0
2024-06-02T14:00:00Z,260,99,161,100,19.1,86,15.6,0.1
2024-06-02T15:00:00Z,252,54,198,95,19.5,85,13.3,0.1
2024-06-02T16:00:00Z,286,62,224,95,19.7,83,13.1,0.2
2024-06-02T17:00:00Z,417,170,247,99,20.5,81,12.4,0.1
2024-06-02T18:00:00Z,487,237,250,100,20.8,81,10,0.2
2024-06-02T19:00:00Z,356,129,227,43,21.3,81,8.6,0.1
2024-06-02T20:00:00Z,439,221,218,36,22.3,78,7.6,0.1
2024-06-02T21:00:00Z,429,232,197,58,23.4,72,6.5,0.1
2024-06-02T22:00:00Z,230,97,133,88,22.4,71,7,0.2
2024-06-02T23:00:00Z,121,14,107,96,21.9,73,7.7,0
2024-06-03T00:00:00Z,53,4,49,89,21.2,77,8.5,0.3
2024-06-03T01:00:00Z,10,0,10,96,20.8,80,6.8,0.3
2024-06-03T02:00:00Z,0,0,0,99,19.6,86,7,0
2024-06-03T03:00:00Z,0,0,0,94,19.1,88,6.8,0
2024-06-03T04:00:00Z,0,0,0,78,18,92,6.9,0
2024-06-03T05:00:00Z,0,0,0,61,16.9,94,7,0
2024-06-03T06:00:00Z,0,0,0,45,16.3,95,7.1,0
2024-06-03T07:00:00Z,0,0,0,71,16.2,96,6.6,0
2024-06-03T08:00:00Z,0,0,0,95,16.3,96,6.3,0
2024-06-03T09:00:00Z,0,0,0,92,15.9,97,7.3,0
2024-06-03T10:00:00Z,0,0,0,100,16.3,95,6,0
2024-06-03T11:00:00Z,35,12,23,98,16.2,93,6.4,0
2024-06-03T12:00:00Z,144,66,78,92,16.5,90,5,0
2024-06-03T13:00:00Z,295,169,126,86,16.8,88,4.3,0
2024-06-03T14:00:00Z,525,372,153,62,17.7,86,4.4,0
2024-06-03T15:00:00Z,686,570,116,74,18.7,85,3.7,0
2024-06-03T16:00:00Z,772,646,126,75,19.8,82,3.2,0
2024-06-03T17:00:00Z,912,738,174,94,21.1,78,6.3,0
2024-06-03T18:00:00Z,926,758,168,90,21.4,77,10.7,0
2024-06-03T19:00:00Z,816,578,238,87,22,74,12.8,0
2024-06-03T20:00:00Z,773,586,187,92,22.3,71,12.9,0
2024-06-03T21:00:00Z,559,320,239,95,22.4,69,12.6,0
2024-06-03T22:00:00Z,441,265,176,93,21.9,71,9.4,0
2024-06-03T23:00:00Z,357,262,95,92,22.1,67,11.3,0
2024-06-04T00:00:00Z,191,126,65,69,21.2,71,9.9,0
2024-06-04T01:00:00Z,45,21,24,8,19.9,79,8.2,0
2024-06-04T02:00:00Z,0,0,0,19,18.7,86,8.9,0
2024-06-04T03:00:00Z,0,0,0,15,18.4,88,9.2,0
2024-06-04T04:00:00Z,0,0,0,6,18,88,10.5,0
2024-06-04T05:00:00Z,0,0,0,3,17.8,87,13.1,0
2024-06-04T06:00:00Z,0,0,0,24,17.7,87,11.2,0
2024-06-04T07:00:00Z,0,0,0,37,17.4,89,8.8,0
2024-06-04T08:00:00Z,0,0,0,84,17.1,91,7,0
2024-06-04T09:00:00Z,0,0,0,54,16.9,93,6.9,0
2024-06-04T10:00:00Z,0,0,0,88,16.8,95,5.1,0
2024-06-04T11:00:00Z,42,17,25,95,18.2,94,3.2,0
2024-06-04T12:00:00Z,169,87,82,100,19.6,89,3.9,0
2024-06-04T13:00:00Z,306,162,144,100,20.7,85,6.6,0
2024-06-04T14:00:00Z,493,363,130,100,23,78,7.6,0
2024-06-04T15:00:00Z,631,448,183,100,24.3,74,7.9,0
2024-06-04T16:00:00Z,774,538,236,98,25.5,72,9.7,0
2024-06-04T17:00:00Z,844,617,227,100,26.4,69,11.9,0
2024-06-04T18:00:00Z,753,509,244,98,26.5,68,13.2,0
2024-06-04T19:00:00Z,817,605,212,99,26.9,66,13.7,0
