window_id,origin_index,target_index,origin_timestamp_utc,target_timestamp_utc,split,eligible,n_invalid_rows_touched,target_mwh,persistence_mwh,daily_persistence_mwh,target_month,target_hour_est,target_date_est,is_daylight_proxy,abs_ramp_mwh,is_large_ramp
8,7,8,2024-06-01T13:00:00Z,2024-06-01T14:00:00Z,train,True,0,275,180,,6,8,2024-06-01,True,95,True
9,8,9,2024-06-01T14:00:00Z,2024-06-01T15:00:00Z,train,True,0,332,275,,6,9,2024-06-01,True,57,False
10,9,10,2024-06-01T15:00:00Z,2024-06-01T16:00:00Z,train,True,0,377,332,,6,10,2024-06-01,True,45,False
11,10,11,2024-06-01T16:00:00Z,2024-06-01T17:00:00Z,train,True,0,387,377,,6,11,2024-06-01,True,10,False
12,11,12,2024-06-01T17:00:00Z,2024-06-01T18:00:00Z,train,True,0,396,387,,6,12,2024-06-01,True,9,False
13,12,13,2024-06-01T18:00:00Z,2024-06-01T19:00:00Z,train,True,0,375,396,,6,13,2024-06-01,True,21,False
14,13,14,2024-06-01T19:00:00Z,2024-06-01T20:00:00Z,train,True,0,342,375,,6,14,2024-06-01,True,33,False
15,14,15,2024-06-01T20:00:00Z,2024-06-01T21:00:00Z,train,True,0,224,342,,6,15,2024-06-01,True,118,True
16,15,16,2024-06-01T21:00:00Z,2024-06-01T22:00:00Z,train,True,0,176,224,,6,16,2024-06-01,True,48,False
17,16,17,2024-06-01T22:00:00Z,2024-06-01T23:00:00Z,train,True,0,95,176,,6,17,2024-06-01,True,81,True
18,17,18,2024-06-01T23:00:00Z,2024-06-02T00:00:00Z,train,True,0,37,95,,6,18,2024-06-01,True,58,False
19,18,19,2024-06-02T00:00:00Z,2024-06-02T01:00:00Z,train,True,0,2,37,,6,19,2024-06-01,False,35,False
20,19,20,2024-06-02T01:00:00Z,2024-06-02T02:00:00Z,train,True,0,0,2,,6,20,2024-06-01,False,2,False
21,20,21,2024-06-02T02:00:00Z,2024-06-02T03:00:00Z,train,True,0,0,0,,6,21,2024-06-01,False,0,False
22,21,22,2024-06-02T03:00:00Z,2024-06-02T04:00:00Z,train,True,0,0,0,,6,22,2024-06-01,False,0,False
23,22,23,2024-06-02T04:00:00Z,2024-06-02T05:00:00Z,train,True,0,0,0,,6,23,2024-06-01,False,0,False
24,23,24,2024-06-02T05:00:00Z,2024-06-02T06:00:00Z,train,True,0,0,0,0,6,0,2024-06-02,False,0,False
25,24,25,2024-06-02T06:00:00Z,2024-06-02T07:00:00Z,train,True,0,0,0,0,6,1,2024-06-02,False,0,False
26,25,26,2024-06-02T07:00:00Z,2024-06-02T08:00:00Z,train,True,0,0,0,0,6,2,2024-06-02,False,0,False
27,26,27,2024-06-02T08:00:00Z,2024-06-02T09:00:00Z,train,True,0,0,0,0,6,3,2024-06-02,False,0,False
28,27,28,2024-06-02T09:00:00Z,2024-06-02T10:00:00Z,train,True,0,1,0,0,6,4,2024-06-02,False,1,False
29,28,29,2024-06-02T10:00:00Z,2024-06-02T11:00:00Z,train,True,0,13,1,12,6,5,2024-06-02,True,12,False
30,29,30,2024-06-02T11:00:00Z,2024-06-02T12:00:00Z,train,True,0,41,13,70,6,6,2024-06-02,True,28,False
31,30,31,2024-06-02T12:00:00Z,2024-06-02T13:00:00Z,train,True,0,98,41,180,6,7,2024-06-02,True,57,False
32,31,32,2024-06-02T13:00:00Z,2024-06-02T14:00:00Z,train,True,0,144,98,275,6,8,2024-06-02,True,46,False
33,32,33,2024-06-02T14:00:00Z,2024-06-02T15:00:00Z,train,True,0,148,144,332,6,9,2024-06-02,True,4,False
34,33,34,2024-06-02T15:00:00Z,2024-06-02T16:00:00Z,train,True,0,162,148,377,6,10,2024-06-02,True,14,False
35,34,35,2024-06-02T16:00:00Z,2024-06-02T17:00:00Z,train,True,0,149,162,387,6,11,2024-06-02,True,13,False
36,35,36,2024-06-02T17:00:00Z,2024-06-02T18:00:00Z,train,True,0,152,149,396,6,12,2024-06-02,True,3,False
37,36,37,2024-06-02T18:00:00Z,2024-06-02T19:00:00Z,train,True,0,128,152,375,6,13,2024-06-02,True,24,False
38,37,38,2024-06-02T19:00:00Z,2024-06-02T20:00:00Z,train,True,0,131,128,342,6,14,2024-06-02,True,3,False
39,38,39,2024-06-02T20:00:00Z,2024-06-02T21:00:00Z,train,True,0,94,131,224,6,15,2024-06-02,True,37,False
40,39,40,2024-06-02T21:00:00Z,2024-06-02T22:00:00Z,train,True,0,73,94,176,6,16,2024-06-02,True,21,False
41,40,41,2024-06-02T22:00:00Z,2024-06-02T23:00:00Z,train,True,0,42,73,95,6,17,2024-06-02,True,31,False
42,41,42,2024-06-02T23:00:00Z,2024-06-03T00:00:00Z,train,True,0,19,42,37,6,18,2024-06-02,True,23,False
43,42,43,2024-06-03T00:00:00Z,2024-06-03T01:00:00Z,train,True,0,1,19,2,6,19,2024-06-02,False,18,False
