split,kind,metric,n_pairs,qlstm_mean,qlstm_std,qslstm_mean,qslstm_std,diff_mean,qslstm_higher_seeds,wilcoxon_p
extrapolation,event,pull,20,0.03730892666217146,0.0034441585570806205,0.05043231063429793,0.00696269561955391,0.013123383972126462,19,3.814697265625e-06
extrapolation,event,write_k,20,0.12538253747375958,0.010656635008826992,0.16772211687476438,0.020573044029426755,0.04233957940100475,19,3.814697265625e-06
extrapolation,near_best_distractor,pull,20,0.022716834581151528,0.003229148396046006,0.015626899580429742,0.004422119724526798,-0.007089935000721784,2,8.20159912109375e-05
extrapolation,near_best_distractor,write_k,20,0.0997398350529857,0.012977103337518827,0.0717508803292196,0.023308404288761863,-0.027988954723766103,2,0.000850677490234375
extrapolation,other_distractor,pull,20,0.027831427113176682,0.003956843863506712,0.01602245176680612,0.0029015179388464747,-0.011808975346370557,0,1.9073486328125e-06
extrapolation,other_distractor,write_k,20,0.11117842752342562,0.014427738458250638,0.064146399628558,0.011591797380542251,-0.047032027894867635,0,1.9073486328125e-06
test,event,pull,20,0.03883106129178658,0.0031358499660923984,0.06018118303466676,0.008109501540867202,0.02135012174288017,20,1.9073486328125e-06
test,event,write_k,20,0.12996804513600074,0.010100639609912991,0.1949522128720908,0.021958651458160727,0.0649841677360901,20,1.9073486328125e-06
test,near_best_distractor,pull,20,0.024936881947061406,0.002515214917186814,0.024574947313922933,0.00540517370944351,-0.00036193463313847834,8,0.49800872802734375
test,near_best_distractor,write_k,20,0.10533446472475697,0.009987961978313059,0.10911895758401842,0.028425180657182893,0.003784492859261423,9,0.9854354858398438
test,other_distractor,pull,20,0.028632891629451186,0.0034361855848737406,0.023121624544169304,0.0027700999531891147,-0.005511267085281886,1,5.7220458984375e-06
test,other_distractor,write_k,20,0.11442611484520622,0.012900484204191537,0.09153575287544923,0.011039673366266722,-0.022890361969756967,1,3.814697265625e-06
