metric,model,n_seeds,std,std_ci_low,std_ci_high
test_mae,qlstm,20,0.004842355556800572,0.003458512345159936,0.005755668175911239
test_mae,qslstm,20,0.005653200142507433,0.0035340539953730176,0.007461188087612389
test_rmse,qlstm,20,0.004359030085380542,0.003148783922078644,0.005112842104441319
test_rmse,qslstm,20,0.006888248606490224,0.0043682073335567975,0.009140459992950455
extrapolation_mae,qlstm,20,0.006236908982362768,0.003975859881701141,0.007925925055237808
extrapolation_mae,qslstm,20,0.007632001826621282,0.005099413661597965,0.009583148752937106
extrapolation_rmse,qlstm,20,0.005741217385239387,0.0033960998668003217,0.0076120046749241395
extrapolation_rmse,qslstm,20,0.00814519939172208,0.004943500455371053,0.010688442507392837
best_val_mse,qlstm,20,0.002638476188849772,0.001805895706916175,0.003223029016741398
best_val_mse,qslstm,20,0.0029417813375433714,0.0020092107862878694,0.0036217036210374662
gap_train_test,qlstm,20,0.0034164292057934946,0.002643136210445461,0.003888773627103643
gap_train_test,qslstm,20,0.005941187387213486,0.0040742901145566415,0.0073997047824503875
gap_val_test,qlstm,20,0.003759732591533237,0.0021411697317999393,0.0047684108512749965
gap_val_test,qslstm,20,0.006051134172767472,0.004431473293384397,0.007144855657169443
gap_test_extrap,qlstm,20,0.004971266164882925,0.00296371080489136,0.006531130450097029
gap_test_extrap,qslstm,20,0.004887555056275429,0.003110879021931386,0.006364844780811733
