metric,case_type,split,model_a,model_b,n_paired_seeds,mean_difference,sd_difference,ci95_low,ci95_high,ci_method,seeds_a_lower
mse,all,extrapolation,qslstm,qlstm,1,0.002908053390754506,,,,Student-t interval on seed-level paired differences (a - b),0
mae,all,extrapolation,qslstm,qlstm,1,0.006401721388101578,,,,Student-t interval on seed-level paired differences (a - b),0
final_mse,all,extrapolation,qslstm,qlstm,1,-0.0480877090897055,,,,Student-t interval on seed-level paired differences (a - b),1
event_mse,all,extrapolation,qslstm,qlstm,1,0.02737428201145642,,,,Student-t interval on seed-level paired differences (a - b),0
nonevent_mse,all,extrapolation,qslstm,qlstm,1,-0.0017058945358037203,,,,Student-t interval on seed-level paired differences (a - b),1
drift_nonevent,all,extrapolation,qslstm,qlstm,1,-0.0240013245380286,,,,Student-t interval on seed-level paired differences (a - b),1
drift_post_best,all,extrapolation,qslstm,qlstm,1,-0.0230718400668014,,,,Student-t interval on seed-level paired differences (a - b),1
revision_gain,all,extrapolation,qslstm,qlstm,1,-0.0156855434179306,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_event,all,extrapolation,qslstm,qlstm,1,-0.3324904690186183,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_nonevent,all,extrapolation,qslstm,qlstm,1,-0.38399232820309764,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_contrast,all,extrapolation,qslstm,qlstm,1,0.0515018591844794,,,,Student-t interval on seed-level paired differences (a - b),0
mse,iid,extrapolation,qslstm,qlstm,1,0.016628736252733645,,,,Student-t interval on seed-level paired differences (a - b),0
mae,iid,extrapolation,qslstm,qlstm,1,0.012270073805536463,,,,Student-t interval on seed-level paired differences (a - b),0
final_mse,iid,extrapolation,qslstm,qlstm,1,0.07257565060294874,,,,Student-t interval on seed-level paired differences (a - b),0
event_mse,iid,extrapolation,qslstm,qlstm,1,0.0694849426551547,,,,Student-t interval on seed-level paired differences (a - b),0
nonevent_mse,iid,extrapolation,qslstm,qlstm,1,0.007819368518997005,,,,Student-t interval on seed-level paired differences (a - b),0
drift_nonevent,iid,extrapolation,qslstm,qlstm,1,-0.0364940992810509,,,,Student-t interval on seed-level paired differences (a - b),1
drift_post_best,iid,extrapolation,qslstm,qlstm,1,-0.0076654404401779,,,,Student-t interval on seed-level paired differences (a - b),1
revision_gain,iid,extrapolation,qslstm,qlstm,1,-0.004354476928710899,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_event,iid,extrapolation,qslstm,qlstm,1,-0.5232050716876985,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_nonevent,iid,extrapolation,qslstm,qlstm,1,-0.4536077983211727,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_contrast,iid,extrapolation,qslstm,qlstm,1,-0.0695972733665257,,,,Student-t interval on seed-level paired differences (a - b),1
mse,late,extrapolation,qslstm,qlstm,1,0.010368479770271777,,,,Student-t interval on seed-level paired differences (a - b),0
mae,late,extrapolation,qslstm,qlstm,1,0.007833341402667005,,,,Student-t interval on seed-level paired differences (a - b),0
final_mse,late,extrapolation,qslstm,qlstm,1,-0.09833057118949551,,,,Student-t interval on seed-level paired differences (a - b),1
event_mse,late,extrapolation,qslstm,qlstm,1,0.030230321057926113,,,,Student-t interval on seed-level paired differences (a - b),0
nonevent_mse,late,extrapolation,qslstm,qlstm,1,0.004951613964548018,,,,Student-t interval on seed-level paired differences (a - b),0
drift_nonevent,late,extrapolation,qslstm,qlstm,1,-0.011937399208545703,,,,Student-t interval on seed-level paired differences (a - b),1
drift_post_best,late,extrapolation,qslstm,qlstm,1,-0.0392307937145233,,,,Student-t interval on seed-level paired differences (a - b),1
revision_gain,late,extrapolation,qslstm,qlstm,1,0.0104887038469315,,,,Student-t interval on seed-level paired differences (a - b),0
alpha_event,late,extrapolation,qslstm,qlstm,1,-0.2372193535168966,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_nonevent,late,extrapolation,qslstm,qlstm,1,-0.2801673249764876,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_contrast,late,extrapolation,qslstm,qlstm,1,0.042947971459590895,,,,Student-t interval on seed-level paired differences (a - b),0
mse,early,extrapolation,qslstm,qlstm,1,0.00387601791569539,,,,Student-t interval on seed-level paired differences (a - b),0
mae,early,extrapolation,qslstm,qlstm,1,0.013807623514107248,,,,Student-t interval on seed-level paired differences (a - b),0
final_mse,early,extrapolation,qslstm,qlstm,1,-0.0255857557443145,,,,Student-t interval on seed-level paired differences (a - b),1
event_mse,early,extrapolation,qslstm,qlstm,1,0.017301053168126905,,,,Student-t interval on seed-level paired differences (a - b),0
nonevent_mse,early,extrapolation,qslstm,qlstm,1,0.002843322896277478,,,,Student-t interval on seed-level paired differences (a - b),0
drift_nonevent,early,extrapolation,qslstm,qlstm,1,-0.022009996076425,,,,Student-t interval on seed-level paired differences (a - b),1
drift_post_best,early,extrapolation,qslstm,qlstm,1,-0.019827322526411603,,,,Student-t interval on seed-level paired differences (a - b),1
revision_gain,early,extrapolation,qslstm,qlstm,1,-0.073255568742752,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_event,early,extrapolation,qslstm,qlstm,1,-0.4134785234928131,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_nonevent,early,extrapolation,qslstm,qlstm,1,-0.42225672734471476,,,,Student-t interval on seed-level paired differences (a - b),1
alpha_contrast,early,extrapolation,qslstm,qlstm,1,0.008778203851901603,,,,Student-t interval on seed-level paired differences (a - b),0
mse,near_best,extrapolation,qslstm,qlstm,1,-0.019241020375682538,,,,Student-t interval on seed-level paired differences (a - b),1
mae,near_best,extrapolation,qslstm,qlstm,1,-0.008304153169904627,,,,Student-t interval on seed-level paired differences (a - b),1
final_mse,near_best,extrapolation,qslstm,qlstm,1,-0.1410101600279603,,,,Student-t interval on seed-level paired differences (a - b),1
event_mse,near_best,extrapolation,qslstm,qlstm,1,-0.007519188835382273,,,,Student-t interval on seed-level paired differences (a - b),1
nonevent_mse,near_best,extrapolation,qslstm,qlstm,1,-0.022437883523036994,,,,Student-t interval on seed-level paired differences (a - b),1
drift_nonevent,near_best,extrapolation,qslstm,qlstm,1,-0.0255638035860929,,,,Student-t interval on seed-level paired differences (a - b),1
drift_post_best,near_best,extrapolation,qslstm,qlstm,1,-0.0255638035860929,,,,Student-t interval on seed-level paired differences (a - b),1
revision_gain,near_best,extrapolation,qslstm,qlstm,1,0.00437916815280913,,,,Student-t interval on seed-level paired differences (a - b),0
