run_seed,model,case_type,timestep,mse,drift,n
0,qlstm,early,2,0.651887137209517,,1
0,qlstm,early,3,0.7372414876482623,0.05123239755630499,1
0,qlstm,early,4,0.0568089602639233,,1
0,qlstm,early,5,0.0546345741291427,0.004605904221534701,1
0,qlstm,early,6,0.090179479539441,0.0665585845708847,1
0,qlstm,early,7,0.0822440814407231,0.013516694307327326,1
0,qlstm,early,8,0.0959378532396493,0.022956073284149225,1
0,qlstm,early,9,0.0553101441421643,0.07455727458000189,1
0,qlstm,early,10,0.0632742307238361,0.016362607479095487,1
0,qlstm,early,11,0.0490080510011412,0.0301660746335983,1
0,qlstm,early,12,0.0461814193440756,0.006478995084762601,1
0,qlstm,early,13,0.0636407432867473,0.037372544407844516,1
0,qlstm,early,14,0.0763079864871239,0.023967832326889094,1
0,qlstm,early,15,0.105073100612911,0.04791080951690668,1
0,qlstm,iid,2,0.5243190744971713,,1
0,qlstm,iid,3,0.5333942142196344,0.0062396228313446045,1
0,qlstm,iid,4,0.3752648467917083,0.11774978041648859,1
0,qlstm,iid,5,0.4145978928775093,0.031304121017456,1
0,qlstm,iid,6,0.4957031108830421,0.06016910076141363,1
0,qlstm,iid,7,0.3666573157159212,0.09853951632976532,1
0,qlstm,iid,8,0.344678045559931,0.018429473042488098,1
0,qlstm,iid,9,0.976673468776028,,1
0,qlstm,iid,10,1.0628743298092769,0.04269005358219147,1
0,qlstm,iid,11,1.2011477037448373,0.06501087546348572,1
0,qlstm,iid,12,1.0070120399358382,0.092468947172165,1
0,qlstm,iid,13,0.3870858500987675,,1
0,qlstm,iid,14,0.3630532500101289,0.019623234868049594,1
0,qlstm,iid,15,0.3568778161990613,0.0051464885473251065,1
0,qlstm,late,2,0.6732554891057276,,1
0,qlstm,late,3,0.126049295410102,,1
0,qlstm,late,4,0.1148821785496787,0.0160914808511734,1
0,qlstm,late,5,1.458371604958021,,1
0,qlstm,late,6,1.4598344692098095,0.0006055235862731934,1
0,qlstm,late,7,1.4188106563331218,0.01709771156311038,1
0,qlstm,late,8,1.4013967212631335,0.007332354784011813,1
0,qlstm,late,9,1.4217296870307286,0.008557036519050598,1
0,qlstm,late,10,1.5972259076767197,0.07145096361637118,1
0,qlstm,late,11,1.4443296599161537,0.062011361122131375,1
0,qlstm,late,12,0.6014488772622748,,1
0,qlstm,late,13,0.5201793335458129,0.05429676175117498,1
0,qlstm,late,14,0.6366507213771264,0.0766693651676178,1
0,qlstm,late,15,0.7142076868785843,0.04720413684844971,1
0,qlstm,near_best,2,0.6905125594780737,,1
0,qlstm,near_best,3,0.1461774028237938,,1
0,qlstm,near_best,4,1.2767186133670672,,1
0,qlstm,near_best,5,1.3353031793108636,0.025633454322814914,1
0,qlstm,near_best,6,1.509993089612326,0.07326456904411321,1
0,qlstm,near_best,7,1.3746408335592264,0.05636698007583624,1
0,qlstm,near_best,8,1.391693606679767,0.0072498619556427,1
0,qlstm,near_best,9,1.402110741689499,0.004406929016113337,1
0,qlstm,near_best,10,1.2909000453577255,0.04792974889278412,1
0,qlstm,near_best,11,1.2993167361848388,0.0036979317665100098,1
0,qlstm,near_best,12,1.4089279094172902,0.04710693657398218,1
0,qlstm,near_best,13,1.3335511959519728,0.032187819480895996,1
0,qlstm,near_best,14,1.373330271152046,0.017096877098083496,1
0,qlstm,near_best,15,1.5139365870664392,0.058529555797576904,1
0,qslstm,early,2,0.6626682140989857,,1
0,qslstm,early,3,0.6711826035232571,0.005212992429733276,1
0,qslstm,early,4,0.0741100134320502,,1
0,qslstm,early,5,0.07987721878448,0.010394036769866888,1
0,qslstm,early,6,0.089947476140886,0.01728686690330511,1
0,qslstm,early,7,0.0845304626934558,0.009171217679977417,1
0,qslstm,early,8,0.0861304075575582,0.0027385950088500977,1
0,qslstm,early,9,0.0747123016906732,0.02014431357383728,1
0,qslstm,early,10,0.0810522918229675,0.011361330747604315,1
0,qslstm,early,11,0.0699390244100198,0.020236968994140625,1
0,qslstm,early,12,0.0689648172294614,0.0018483400344848078,1
0,qslstm,early,13,0.0816501480092312,0.023133367300033514,1
0,qslstm,early,14,0.0777411756267705,0.006923854351043701,1
0,qslstm,early,15,0.0794873448685965,0.00311395525932312,1
0,qslstm,iid,2,0.4416719074634665,,1
0,qslstm,iid,3,0.4422224521316034,0.00041407346725458316,1
0,qslstm,iid,4,0.4074210711068113,0.0267026424407959,1
0,qslstm,iid,5,0.4347235687991224,0.02104026079177862,1
0,qslstm,iid,6,0.4452720093367226,0.007951349020004272,1
0,qslstm,iid,7,0.4099864634909744,0.026985198259353693,1
0,qslstm,iid,8,0.4035878895281009,0.005016177892684881,1
0,qslstm,iid,9,1.0608155890566628,,1
0,qslstm,iid,10,1.108067577501263,0.022688865661621094,1
0,qslstm,iid,11,1.1227939610803652,0.006971836090087891,1
0,qslstm,iid,12,1.0627400660544026,0.028726875782012995,1
0,qslstm,iid,13,0.4419136151284419,,1
0,qslstm,iid,14,0.4314716291771816,0.007900834083557129,1
0,qslstm,iid,15,0.42945346680201,0.001538008451461792,1
0,qslstm,late,2,0.750345551370529,,1
0,qslstm,late,3,0.1628107513703023,,1
0,qslstm,late,4,0.1369704080486968,0.03340300917625427,1
0,qslstm,late,5,1.5272865656598356,,1
0,qslstm,late,6,1.5050334740235485,0.009036302566528293,1
0,qslstm,late,7,1.4583801706371782,0.019163936376571683,1
0,qslstm,late,8,1.382801676830803,0.0317082405090332,1
