Time,V1,V2,V3,V4,V5,ToutH2,TinAIR,ToutAIR,TinWAT,DoutH2,DoutAIR,TV
1,0.672473562,0.666663785,0.666719654,0.665487862,0.661583971,40.7389019,42.25257399,51.64273761,53.72787296,2.123242767,21.41953242,3.332923537
2,0.674812667,0.669049333,0.668600333,0.667812333,0.663996,40.94238667,42.25864767,51.66772933,53.74592133,2.116867333,21.39237933,3.344270667
3,0.675563607,0.669246377,0.669502415,0.668096618,0.664594203,40.94060709,42.27763285,51.64839614,53.76399839,2.120486312,21.41680998,3.347003221
4,0.67610084,0.67010084,0.670067227,0.66892437,0.665470588,41.0002605,42.29208403,51.67764706,53.76257983,2.116983193,21.41468908,3.350663866
5,0.676327731,0.670336134,0.670176471,0.669470588,0.665563025,41.01378992,42.28758824,51.67120168,53.74815126,2.114773109,21.40145378,3.35187395
6,0.676675,0.670325,0.670266667,0.669491667,0.665958333,40.928225,42.287475,51.65014167,53.75025833,2.116741667,21.398325,3.352716667
7,0.676655462,0.670747899,0.670588235,0.669605042,0.666352941,40.82060504,42.27856303,51.63708403,53.77611765,2.11612605,21.39148739,3.35394958
8,0.676781513,0.670823529,0.670336134,0.669991597,0.666663866,40.62057143,42.25586555,51.61889076,53.77157143,2.11607563,21.39665546,3.354596639
9,0.676722689,0.670857143,0.670596639,0.670117647,0.666756303,40.55026891,42.25570588,51.60821849,53.79706723,2.116857143,21.39481513,3.35505042
10,0.676621849,0.670747899,0.670243697,0.669966387,0.666672269,40.51363025,42.25069748,51.61142017,53.81141176,2.114495798,21.39082353,3.354252101
11,0.676647059,0.670655462,0.670294118,0.670168067,0.666495798,40.69283193,42.32132773,51.6417395,53.81660504,2.112084034,21.40609244,3.354260504
12,0.676416667,0.670491667,0.670041667,0.669983333,0.666791667,40.59618333,42.29431667,51.65435833,53.83255,2.113666667,21.401175,3.353725
13,0.676168067,0.670058824,0.669495798,0.669840336,0.666285714,40.67945378,42.3112605,51.60668067,53.82068908,2.11294958,21.40797479,3.351848739
14,0.676008403,0.669647059,0.66905042,0.669344538,0.665857143,40.58752941,42.30657983,51.56384874,53.81047899,2.110226891,21.40552101,3.349907563
15,0.675378151,0.669705882,0.669184874,0.668941176,0.665773109,40.52784034,42.2900084,51.58728571,53.8052521,2.109462185,21.40748739,3.348983193
16,0.675159664,0.669168067,0.668689076,0.668613445,0.665613445,40.32910084,42.33143697,51.5782605,53.80369748,2.104445378,21.3987395,3.347243697
17,0.674966667,0.669083333,0.668383333,0.668383333,0.665275,40.49799167,42.32951667,51.607,53.806625,2.108441667,21.40731667,3.346091667
18,0.674613445,0.669058824,0.668193277,0.668210084,0.665378151,40.77284874,42.31251261,51.60629412,53.81836975,2.108537815,21.41565546,3.345453782
19,0.674680672,0.668689076,0.668453782,0.668344538,0.665462185,40.80936134,42.30305882,51.63748739,53.79713445,2.105915966,21.42145378,3.345630252
20,0.674915966,0.668932773,0.668579832,0.668823529,0.665663866,40.92463866,42.31914286,51.66869748,53.84356303,2.111596639,21.40826891,3.346915966
21,0.675151261,0.669487395,0.668521008,0.668747899,0.665672269,40.89505882,42.32368908,51.66584874,53.82786555,2.11105042,21.40581513,3.347579832
22,0.675366667,0.66965,0.66865,0.669066667,0.666033333,41.03431667,42.323,51.68158333,53.83006667,2.114683333,21.41341667,3.348766667
23,0.675512605,0.669747899,0.669277311,0.669277311,0.666478992,41.07931933,42.36452101,51.71962185,53.8144958,2.105487395,21.41701681,3.350294118
24,0.675613445,0.669966387,0.669470588,0.66987395,0.667008403,41.63251261,42.41218487,51.83204202,53.80947899,2.100235294,21.41194118,3.351932773
25,0.676142857,0.670184874,0.669319328,0.669890756,0.667109244,41.87721008,42.4177479,51.87519328,53.79880672,2.098420168,21.41302521,3.352647059
26,0.676235294,0.670529412,0.669529412,0.670109244,0.667428571,42.00063866,42.43012605,51.92753782,53.77091597,2.097134454,21.4337563,3.353831933
27,0.676466667,0.67055,0.66995,0.670283333,0.667808333,42.09126667,42.40079167,51.98578333,53.81493333,2.0958,21.44485833,3.355058333
28,0.676445378,0.670663866,0.670386555,0.670495798,0.66792437,41.98323529,42.39913445,51.91563866,53.82710924,2.098537815,21.44837815,3.355915966
29,0.676478992,0.670554622,0.669806723,0.670630252,0.66807563,41.61659664,42.28206723,51.7737479,53.76478992,2.106243697,21.43215126,3.355546218
30,0.676361345,0.670663866,0.670084034,0.670201681,0.668151261,41.28998319,42.30138655,51.67944538,53.76621849,2.109134454,21.42636134,3.355462185
31,0.676638655,0.670537815,0.669991597,0.670361345,0.668117647,41.43883193,42.35870588,51.70404202,53.81243697,2.103210084,21.41976471,3.355647059
32,0.676366667,0.670641667,0.669691667,0.670458333,0.668041667,41.2716,42.31769167,51.69860833,53.812125,2.10795,21.40593333,3.3552
33,0.67592437,0.670033613,0.669319328,0.670142857,0.667453782,41.33726891,42.27942017,51.69080672,53.7922437,2.11212605,21.40440336,3.35287395
34,0.675663866,0.670294118,0.66907563,0.669647059,0.667210084,41.20477311,42.3060084,51.68960504,53.78521849,2.113226891,21.39929412,3.351890756
35,0.675243697,0.669756303,0.668857143,0.669621849,0.666907563,41.17677311,42.28898319,51.65026891,53.78581513,2.117747899,21.40230252,3.350386555
36,0.675268908,0.669689076,0.668436975,0.669302521,0.666915966,41.05227731,42.27486555,51.63004202,53.77957143,2.11607563,21.40710924,3.349613445
37,0.67394958,0.668210084,0.667386555,0.667773109,0.665420168,41.03227731,42.21240336,51.62326891,53.80598319,2.116487395,21.40752941,3.342739496
38,0.673566667,0.66795,0.666716667,0.667816667,0.665366667,41.109,42.28708333,51.636775,53.804,2.110866667,21.42395833,3.341416667
39,0.673579832,0.668,0.666781513,0.667596639,0.665352941,40.96779832,42.31881513,51.64972269,53.82515126,2.110176471,21.42017647,3.341310924
40,0.673915966,0.668193277,0.667016807,0.667941176,0.665478992,40.84309244,42.31303361,51.61902521,53.81537815,2.108394958,21.41018487,3.342546218
41,0.673941176,0.668386555,0.667487395,0.66805042,0.665621849,40.98805882,42.30690756,51.66138655,53.84044538,2.106680672,21.40903361,3.343487395
42,0.67407563,0.668563025,0.667436975,0.668042017,0.66589916,41.07091597,42.31768908,51.64892437,53.82047059,2.107647059,21.41353782,3.344016807
43,0.674258333,0.668391667,0.66735,0.668258333,0.666033333,41.38535,42.29465833,51.69061667,53.84468333,2.108033333,21.412025,3.344291667
44,0.673655462,0.667983193,0.667016807,0.667478992,0.665478992,41.2639916,42.3045042,51.65885714,53.80394118,2.11087395,21.40151261,3.341613445
45,0.673647059,0.667714286,0.666966387,0.667823529,0.665487395,41.06461345,42.34134454,51.65336975,53.8017563,2.111117647,21.39797479,3.341638655
46,0.673579832,0.668277311,0.66702521,0.667806723,0.665563025,41.37087395,42.34117647,51.66378992,53.80377311,2.11097479,21.42257983,3.342252101
47,0.674218487,0.667966387,0.667294118,0.668252101,0.665941176,41.39663025,42.32603361,51.65435294,53.78552941,2.108445378,21.41153782,3.343672269
48,0.674641667,0.668683333,0.667991667,0.668541667,0.666216667,41.365775,42.30475833,51.6272,53.76928333,2.110666667,21.40673333,3.346075
49,0.675783333,0.670275,0.669275,0.669908333,0.668141667,40.99354167,42.291125,51.5214,53.64838333,2.1143,21.41849167,3.353383333
50,0.677344538,0.671226891,0.670352941,0.671697479,0.669579832,41.31398319,42.28660504,51.61039496,53.77362185,2.114957983,21.4085042,3.360201681
51,0.677,0.67110084,0.670168067,0.671546218,0.669655462,41.18877311,42.27163866,51.58779832,53.77887395,2.125672269,21.40789076,3.359470588
52,0.676831933,0.671134454,0.670016807,0.671428571,0.669361345,41.15358824,42.26208403,51.56542017,53.79776471,2.128268908,21.39768908,3.358773109
53,0.676708333,0.670741667,0.669883333,0.670891667,0.669425,41.03191667,42.27381667,51.55045833,53.792975,2.13165,21.40171667,3.35765
54,0.676613445,0.67089916,0.66992437,0.670915966,0.669344538,41.10738655,42.2472605,51.54177311,53.78715126,2.131084034,21.40047059,3.357697479
55,0.676436975,0.670470588,0.669731092,0.67094958,0.668882353,40.99518487,42.25407563,51.56317647,53.7942437,2.129436975,21.38993277,3.356470588
56,0.676436975,0.670563025,0.669394958,0.670647059,0.669243697,40.94598319,42.30707563,51.58057143,53.79741176,2.124588235,21.40160504,3.356285714
57,0.676302521,0.670268908,0.669193277,0.670605042,0.669092437,40.91302521,42.29112605,51.57957143,53.8099916,2.121218487,21.40246218,3.355462185
58,0.672991667,0.667216667,0.666058333,0.667133333,0.6655,40.91941667,42.2762,51.5522,53.80211667,2.121408333,21.38813333,3.3389
59,0.669495798,0.663865546,0.662294118,0.663941176,0.661815126,40.78633613,42.24044538,51.54665546,53.80122689,2.121403361,21.38494958,3.321411765
60,0.669697479,0.663621849,0.662243697,0.663756303,0.661394958,40.6100084,42.24131933,51.54142857,53.80590756,2.116470588,21.38802521,3.320714286
61,0.670142857,0.664504202,0.663176471,0.664210084,0.662647059,40.59047059,42.26688235,51.53544538,53.79911765,2.116436975,21.38644538,3.324680672
62,0.671109244,0.665344538,0.664193277,0.665336134,0.663588235,40.59306723,42.24752101,51.53738655,53.80340336,2.115915966,21.3854958,3.329571429
63,0.672025,0.665933333,0.664691667,0.665908333,0.664383333,40.66935833,42.25554167,51.56030833,53.81886667,2.116025,21.384625,3.332941667
64,0.672537815,0.666647059,0.665092437,0.666907563,0.665016807,40.75902521,42.28138655,51.57511765,53.7985042,2.114806723,21.3975042,3.336201681
65,0.67310084,0.667159664,0.666033613,0.667243697,0.665613445,40.91096639,42.27744538,51.59064706,53.81007563,2.11792437,21.39954622,3.339151261
66,0.673487395,0.667504202,0.66610084,0.667621849,0.665932773,41.06470588,42.28692437,51.60802521,53.81498319,2.119445378,21.40382353,3.340647059
67,0.673806723,0.668151261,0.666420168,0.667705882,0.666117647,41.20921849,42.29977311,51.62154622,53.79233613,2.121008403,21.39401681,3.342201681
68,0.674218487,0.66787395,0.667016807,0.668184874,0.666546218,41.32647899,42.24121849,51.61576471,53.82308403,2.124386555,21.4082521,3.343840336
69,0.674333333,0.668283333,0.66735,0.668208333,0.666708333,41.15230833,42.22990833,51.6255,53.82544167,2.12655,21.40036667,3.344883333
70,0.674436975,0.668672269,0.667386555,0.668462185,0.666966387,41.18902521,42.26626891,51.62257143,53.80768908,2.120462185,21.39463866,3.34592437
71,0.674621849,0.668915966,0.667117647,0.66897479,0.667344538,41.26797479,42.28739496,51.62414286,53.77909244,2.121117647,21.39527731,3.34697479
72,0.674655462,0.668495798,0.667512605,0.66889916,0.667361345,41.29522689,42.24840336,51.61419328,53.74778992,2.118495798,21.39870588,3.34692437
73,0.674621849,0.668336134,0.667193277,0.668663866,0.667294118,41.27903361,42.28845378,51.60297479,53.7394958,2.115033613,21.39965546,3.346109244
74,0.674658333,0.668383333,0.667258333,0.668575,0.667008333,41.26711667,42.25720833,51.613225,53.76610833,2.1115,21.40075,3.345883333
75,0.674588235,0.668546218,0.667436975,0.668521008,0.667268908,41.23768067,42.24477311,51.60810924,53.79133613,2.11797479,21.40494958,3.346361345
76,0.674722689,0.668579832,0.667268908,0.668689076,0.667394958,41.24348739,42.26119328,51.61970588,53.82703361,2.122193277,21.39688235,3.346655462
77,0.674546218,0.668638655,0.667109244,0.668739496,0.667386555,41.21959664,42.24361345,51.60365546,53.8305042,2.124201681,21.39501681,3.346420168
78,0.674655462,0.66905042,0.66707563,0.66892437,0.666865546,41.18016807,42.21578151,51.60206723,53.82842857,2.125605042,21.39168908,3.346571429
79,0.674358333,0.668183333,0.666841667,0.668675,0.667216667,41.18995833,42.29563333,51.61478333,53.81933333,2.1279,21.39831667,3.345275
80,0.674058824,0.66792437,0.666663866,0.667966387,0.666554622,41.18760504,42.27722689,51.60288235,53.82905882,2.122361345,21.39826891,3.343168067
81,0.673579832,0.667605042,0.666319328,0.667941176,0.666319328,41.09836134,42.28379832,51.60316807,53.81357983,2.122705882,21.39332773,3.341764706
82,0.673294118,0.667302521,0.665941176,0.667277311,0.66612605,41.01094958,42.28322689,51.59721849,53.81408403,2.12112605,21.39391597,3.339941176
